feature	score	p-value	#I-out-of-1	#O-out-of-425
PA14_23350,orfA	23.9059207614	1.01160159585e-06	6.30444880242	472.891516375
PA14_37810,pcoB	9.68100039009	0.00186183230104	7.4707937742	1069.78615964
PA14_27830	9.5191280142	0.00203341178901	4.38202663467	472.855536876
PA14_23360,wzz	9.40708102029	0.00216149055065	6.02344759296	783.408159733
PA14_38180	8.74149288209	0.00311049759023	6.62273632395	939.669162544
PA14_54750	7.21289700383	0.00723815708867	5.0106352941	680.204715467
PA14_59230	6.58394315717	0.0102902690636	3.40119738166	392.709329848
PA14_50320	6.39987493842	0.0114128403144	4.85981240436	690.328887807
PA14_50330	6.26925770743	0.0122850598549	5.27299955856	787.579446607
PA14_50310	6.01174592752	0.0142109598075	4.70048036579	677.485030893
PA14_18580,algD	5.90254580718	0.0151190163518	8.74353163363	1666.19255019
PA14_27840	5.80024151661	0.0160239733539	6.76503897678	1171.13395676
PA14_35680,pslF	5.57643670485	0.0182037241719	0.0	2369.98559956
PA14_32500	5.4619961069	0.0194344332631	0.0	2321.34834543
PA14_35670,pslG	5.44940439931	0.0195749992479	0.0	2315.99686971
PA14_60130	5.40851060519	0.0200388061749	0.69314718056	2857.98490435
PA14_18520,algK	5.31663266581	0.0211227918385	7.4133673357	1380.06129216
PA14_20510	5.2940135525	0.0213988476414	0.0	2249.95575981
PA14_37790,pcoA	5.27669610113	0.0216127220226	7.96762673933	1529.42780323
PA14_59845	5.17437402583	0.0229224291655	0.0	2199.10896098
PA14_32830	5.13057727165	0.0235079079638	0.0	2180.49534045
PA14_35190,pbpC	5.00213122221	0.0253161269122	0.0	2125.90576944
PA14_35300	4.9425756255	0.0262029628229	0.0	2100.59464084
PA14_32540	4.91327789529	0.0266510186792	0.0	2088.1431055
PA14_35520,bkdA2	4.81792680666	0.028165202278	1.60943791243	3273.73095749
PA14_35540,bkdR	4.81750048242	0.0281721697684	0.0	2047.43770503
PA14_34900	4.80221903776	0.0284231052816	0.0	2040.94309105
PA14_34970,gcd	4.77077395615	0.028946809822	0.69314718056	2583.70991698
PA14_32610,dsbG	4.74732469577	0.0293438811638	0.0	2017.6129957
PA14_35650,pslH	4.74717464981	0.0293464401101	0.0	2017.54922617
PA14_35470	4.74615069353	0.0293639092933	0.0	2017.11404475
PA14_35530,bkdA1	4.73452934729	0.0295629358149	2.07944154168	3561.58018158
PA14_35070	4.68596424702	0.0304099917136	0.0	1991.53480498
PA14_34880	4.66571516754	0.0307706058561	0.0	1982.9289462
PA14_32840	4.65810191725	0.030907340364	0.0	1979.69331483
PA14_33350	4.60821147799	0.0318192029567	4.70048036579	767.73885965
PA14_35690,pslE	4.59381313582	0.0320875520974	1.09861228867	2809.35478846
PA14_19960	4.58212191507	0.0323071844154	5.68357976734	1009.4844175
PA14_35730	4.5040620743	0.0338144360952	1.94591014906	202.076204791
PA14_32420	4.48992388067	0.0340951957561	1.09861228867	2763.92126573
PA14_32480	4.4710390567	0.0344740211207	0.0	1900.1915991
PA14_35600,pslL	4.45641583881	0.0347703811502	0.0	1893.97673149
PA14_35500,bkdB	4.41346254517	0.0356563965619	1.94591014906	3325.1535902
PA14_35490,lpdV	4.33916327138	0.0372452230673	1.79175946923	3186.1787827
PA14_35250	4.33664967642	0.0373002532424	0.0	1843.07611248
PA14_32600	4.31470677743	0.0377842822694	0.0	1833.75038041
PA14_35620,pslK	4.30408890688	0.0380208558126	0.0	1829.23778542
PA14_35630,pslJ	4.30024225666	0.0381069444682	0.0	1827.60295908
PA14_32520	4.27061799614	0.0387768252496	0.0	1815.01264836
PA14_59690	4.25709673626	0.0390866687428	0.0	1809.26611291
PA14_33340	4.2412910144	0.0394521560097	5.80211837538	1072.03644325
PA14_35080,arsH	4.23209627763	0.0396664204628	0.0	1798.64091799
PA14_32530	4.22733187551	0.0397779249631	0.69314718056	2349.38307943
PA14_35210	4.2229934687	0.0398797457257	0.0	1794.7722242
PA14_34870,CHiC	4.21113845462	0.0401593757169	0.0	1789.73384321
PA14_35140	4.20470237869	0.0403120477417	0.0	1786.99851094
PA14_08210	4.20303533066	0.0403516915253	0.0	1786.29001553
PA14_07300	4.19621646752	0.0405142763123	5.04342511692	884.166351203
PA14_60040	4.18103384572	0.0408787569097	0.0	1776.93938443
PA14_59070	4.15948911897	0.0414018898978	0.0	1767.78287556
PA14_60020	4.14554423529	0.0417442342647	0.0	1761.8563
PA14_20520	4.13880828826	0.0419106646564	0.69314718056	2311.14692771
PA14_18510,algE	4.13688600848	0.041958287725	6.79458658088	1345.66645344
PA14_18550,alg44	4.06227948623	0.0438512672239	6.85118492749	1369.98202855
PA14_59370	4.05377335964	0.0440727274705	0.0	1722.85367785
PA14_59920	3.99401519702	0.0456621291151	0.0	1697.45645873
PA14_60000	3.9726862904	0.0462439432139	0.0	1688.39167342
PA14_35000	3.9238364431	0.0476061235545	0.0	1667.63048832
PA14_59140	3.9207563407	0.0476934185305	0.0	1666.3214448
PA14_35270	3.91785699409	0.0477757449098	0.0	1665.08922249
PA14_60050	3.90882618012	0.0480331353331	0.0	1661.25112655
PA14_59100	3.9069995991	0.0480853730387	0.0	1660.47482962
PA14_32700	3.87775447687	0.048929958779	0.0	1648.04565267
PA14_34990	3.86047571086	0.0494363097144	0.69314718056	2190.78416549
PA14_18430,algJ	3.8508897395	0.0497196089468	6.9314718056	1418.49461006
PA14_59200	3.83729798184	0.0501242367871	0.0	1630.85164228
PA14_59940	3.8330248049	0.0502521674196	0.69314718056	2178.90060823
PA14_32710	3.79501941962	0.0514052768713	0.0	1612.88325334
PA14_59150	3.79325088977	0.0514596119256	0.0	1612.13162815
PA14_32770	3.77830628858	0.0519211921252	0.0	1605.78017264
PA14_35230	3.77020189446	0.0521733350032	0.0	1602.33580515
PA14_59180	3.70715005978	0.0541798258043	0.0	1575.53877541
PA14_59440	3.69636123343	0.054531269127	0.0	1570.95352421
PA14_35170,soxR	3.67775083251	0.055143189121	0.0	1563.04410382
PA14_32690,gtdA	3.6654612706	0.0555512646127	0.0	1557.82104001
PA14_32450	3.65184699706	0.0560070692026	0.0	1552.03497375
PA14_59930	3.60165114463	0.0577222143356	0.0	1530.70173647
PA14_33300	3.59260075305	0.058037347638	4.98360662171	925.863197506
PA14_63500	3.59100140835	0.0580932263427	0.0	1526.17559855
PA14_32580	3.57864530737	0.0585268613847	0.0	1520.92425563
PA14_08270	3.55134786914	0.0594971016258	0.0	1509.32284438
