feature	score	p-value	#I-out-of-14	#O-out-of-412
,,group_10498	64.7227808599	8.62123457284e-16	3.0	1.0
,,group_8347	64.7227808599	8.62123457284e-16	3.0	1.0
,,group_6038	64.7227808599	8.62123457284e-16	3.0	1.0
,,group_4455	64.7227808599	8.62123457284e-16	3.0	1.0
,,group_1556	58.8571428571	1.69545169863e-14	2.0	0.0
,,group_20966	58.8571428571	1.69545169863e-14	2.0	0.0
,,group_18710	58.8571428571	1.69545169863e-14	2.0	0.0
,,group_9423	58.8571428571	1.69545169863e-14	2.0	0.0
,,group_4542	58.8571428571	1.69545169863e-14	2.0	0.0
,,group_8383	58.8571428571	1.69545169863e-14	2.0	0.0
,,group_13465	58.8571428571	1.69545169863e-14	2.0	0.0
,,group_534	58.8571428571	1.69545169863e-14	2.0	0.0
,,group_9719	58.8571428571	1.69545169863e-14	2.0	0.0
PA14_47880,,yahB_2	58.8571428571	1.69545169863e-14	2.0	0.0
PA14_27220,ohr,ohrB	58.8571428571	1.69545169863e-14	2.0	0.0
,,group_6632	58.8571428571	1.69545169863e-14	2.0	0.0
,,group_1917	58.8571428571	1.69545169863e-14	2.0	0.0
,,group_7555	50.5986130374	1.1332509924e-12	3.0	2.0
,,group_5251	42.4080443828	7.40847002236e-11	4.0	6.0
,,group_26992	41.1938280166	1.37857158965e-10	3.0	3.0
,,group_6689	41.1938280166	1.37857158965e-10	3.0	3.0
,,group_26993	41.1938280166	1.37857158965e-10	3.0	3.0
,,group_26991	41.1938280166	1.37857158965e-10	3.0	3.0
,,group_4453	41.1938280166	1.37857158965e-10	3.0	3.0
,,group_26989	41.1938280166	1.37857158965e-10	3.0	3.0
,,group_12119	41.1938280166	1.37857158965e-10	3.0	3.0
,,group_26990	41.1938280166	1.37857158965e-10	3.0	3.0
,,group_35038	37.9160887656	7.38536777137e-10	2.0	1.0
,,group_19053	37.9160887656	7.38536777137e-10	2.0	1.0
,,group_3926	37.9160887656	7.38536777137e-10	2.0	1.0
,,group_12212	37.9160887656	7.38536777137e-10	2.0	1.0
,,group_20868	37.9160887656	7.38536777137e-10	2.0	1.0
,,group_5845	37.9160887656	7.38536777137e-10	2.0	1.0
,,group_10560	37.9160887656	7.38536777137e-10	2.0	1.0
,,group_6200	37.9160887656	7.38536777137e-10	2.0	1.0
,,group_696	37.9160887656	7.38536777137e-10	2.0	1.0
,,group_18444	37.9160887656	7.38536777137e-10	2.0	1.0
,,group_20897	37.9160887656	7.38536777137e-10	2.0	1.0
,,group_32560	37.9160887656	7.38536777137e-10	2.0	1.0
,,group_7535	37.9160887656	7.38536777137e-10	2.0	1.0
,,group_1653	34.4858331682	4.2936502515e-09	3.0	4.0
,,group_12049	29.4633321775	5.69846828384e-08	3.0	5.0
,,group_9713	29.4633321775	5.69846828384e-08	3.0	5.0
PA14_30370,,tusE	29.4633321775	5.69846828384e-08	3.0	5.0
,,group_9793	29.4633321775	5.69846828384e-08	3.0	5.0
,,group_5074	29.4633321775	5.69846828384e-08	3.0	5.0
,,group_40870	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_4405	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21183	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21118	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21212	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21262	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_31838	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_4752	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_31645	29.4285714286	5.80159829336e-08	1.0	0.0
PA14_04250,,potA_4	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21083	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21088	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_4856	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21028	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21207	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21089	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21209	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21254	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_36447	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_11641	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_31790	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_5609	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_31672	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_31673	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_31752	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_31773	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_41622	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21107	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_31751	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21114	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_4605	29.4285714286	5.80159829336e-08	1.0	0.0
PA14_71260,,stcD_2	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_3923	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_41627	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_33522	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_20997	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_21018	29.4285714286	5.80159829336e-08	1.0	0.0
,,group_31675	29.4285714286	5.80159829336e-08	1.0	0.0
