feature	score	p-value	#I-out-of-6	#O-out-of-420
,,group_1319	140.0	2.66203489046e-32	2.0	0.0
,,group_3069	92.0047619048	8.64681628298e-22	2.0	1.0
,,group_18972	92.0047619048	8.64681628298e-22	2.0	1.0
,,group_33426	92.0047619048	8.64681628298e-22	2.0	1.0
,,group_18971	92.0047619048	8.64681628298e-22	2.0	1.0
,,group_24445	70.0	5.93044585008e-17	1.0	0.0
,,group_34435	70.0	5.93044585008e-17	1.0	0.0
,,group_17672	70.0	5.93044585008e-17	1.0	0.0
,,group_34520	70.0	5.93044585008e-17	1.0	0.0
,,group_34564	70.0	5.93044585008e-17	1.0	0.0
,,group_24458	70.0	5.93044585008e-17	1.0	0.0
,,group_34559	70.0	5.93044585008e-17	1.0	0.0
,,group_33977	70.0	5.93044585008e-17	1.0	0.0
,,group_24479	70.0	5.93044585008e-17	1.0	0.0
,,group_7141	70.0	5.93044585008e-17	1.0	0.0
,,group_24526	70.0	5.93044585008e-17	1.0	0.0
,,group_11551	70.0	5.93044585008e-17	1.0	0.0
,,group_34022	70.0	5.93044585008e-17	1.0	0.0
,,group_34428	70.0	5.93044585008e-17	1.0	0.0
,,group_34470	70.0	5.93044585008e-17	1.0	0.0
,,group_24451	70.0	5.93044585008e-17	1.0	0.0
,,group_24518	70.0	5.93044585008e-17	1.0	0.0
,,group_24527	70.0	5.93044585008e-17	1.0	0.0
,,group_24444	70.0	5.93044585008e-17	1.0	0.0
,,group_24551	70.0	5.93044585008e-17	1.0	0.0
,,group_17679	70.0	5.93044585008e-17	1.0	0.0
,,group_24492	70.0	5.93044585008e-17	1.0	0.0
,,group_11272	70.0	5.93044585008e-17	1.0	0.0
,,group_24560	70.0	5.93044585008e-17	1.0	0.0
,,group_34045	70.0	5.93044585008e-17	1.0	0.0
,,group_17691	70.0	5.93044585008e-17	1.0	0.0
,,group_24483	70.0	5.93044585008e-17	1.0	0.0
,,group_20910	70.0	5.93044585008e-17	1.0	0.0
,,group_33988	70.0	5.93044585008e-17	1.0	0.0
,,group_24561	70.0	5.93044585008e-17	1.0	0.0
,,group_24511	70.0	5.93044585008e-17	1.0	0.0
,,group_6321	70.0	5.93044585008e-17	1.0	0.0
,,group_34541	70.0	5.93044585008e-17	1.0	0.0
,,group_17696	70.0	5.93044585008e-17	1.0	0.0
,,group_33993	70.0	5.93044585008e-17	1.0	0.0
,,group_33958	70.0	5.93044585008e-17	1.0	0.0
,,group_34481	70.0	5.93044585008e-17	1.0	0.0
,,group_34446	70.0	5.93044585008e-17	1.0	0.0
,,lifO_2	70.0	5.93044585008e-17	1.0	0.0
,,group_24545	70.0	5.93044585008e-17	1.0	0.0
,,group_24504	70.0	5.93044585008e-17	1.0	0.0
,,group_34511	70.0	5.93044585008e-17	1.0	0.0
,,group_33942	70.0	5.93044585008e-17	1.0	0.0
,,group_24442	70.0	5.93044585008e-17	1.0	0.0
,,group_24580	70.0	5.93044585008e-17	1.0	0.0
,,group_8515	70.0	5.93044585008e-17	1.0	0.0
,,group_34492	70.0	5.93044585008e-17	1.0	0.0
,,group_11269	70.0	5.93044585008e-17	1.0	0.0
,,ectB_1	70.0	5.93044585008e-17	1.0	0.0
,,group_33929	70.0	5.93044585008e-17	1.0	0.0
,,group_34558	70.0	5.93044585008e-17	1.0	0.0
,,group_24512	70.0	5.93044585008e-17	1.0	0.0
,,group_33933	70.0	5.93044585008e-17	1.0	0.0
,,group_34430	70.0	5.93044585008e-17	1.0	0.0
,,group_24500	70.0	5.93044585008e-17	1.0	0.0
,,group_38277	70.0	5.93044585008e-17	1.0	0.0
,,group_38268	70.0	5.93044585008e-17	1.0	0.0
,,group_24543	70.0	5.93044585008e-17	1.0	0.0
PA14_00925,,yiaD_4	70.0	5.93044585008e-17	1.0	0.0
,,group_11840	70.0	5.93044585008e-17	1.0	0.0
,,group_38284	70.0	5.93044585008e-17	1.0	0.0
,,group_17673	70.0	5.93044585008e-17	1.0	0.0
,,group_34535	70.0	5.93044585008e-17	1.0	0.0
,,group_2129	70.0	5.93044585008e-17	1.0	0.0
PA14_35590,pslM,kstD	70.0	5.93044585008e-17	1.0	0.0
,,group_33981	70.0	5.93044585008e-17	1.0	0.0
,,group_34464	70.0	5.93044585008e-17	1.0	0.0
,,group_8942	70.0	5.93044585008e-17	1.0	0.0
,,group_24505	70.0	5.93044585008e-17	1.0	0.0
,,group_6548	70.0	5.93044585008e-17	1.0	0.0
,,rbbA_2	70.0	5.93044585008e-17	1.0	0.0
,,group_11101	70.0	5.93044585008e-17	1.0	0.0
,,group_34513	70.0	5.93044585008e-17	1.0	0.0
,,group_24470	70.0	5.93044585008e-17	1.0	0.0
PA14_54980,,irtB_1	70.0	5.93044585008e-17	1.0	0.0
,,group_34503	70.0	5.93044585008e-17	1.0	0.0
,,group_4714	70.0	5.93044585008e-17	1.0	0.0
,,group_17694	70.0	5.93044585008e-17	1.0	0.0
,,group_24574	70.0	5.93044585008e-17	1.0	0.0
,,group_34536	70.0	5.93044585008e-17	1.0	0.0
,,group_38264	70.0	5.93044585008e-17	1.0	0.0
,,group_38280	70.0	5.93044585008e-17	1.0	0.0
,,group_4132	70.0	5.93044585008e-17	1.0	0.0
,,group_34427	70.0	5.93044585008e-17	1.0	0.0
,,group_38281	70.0	5.93044585008e-17	1.0	0.0
,,group_38259	70.0	5.93044585008e-17	1.0	0.0
,,group_33938	70.0	5.93044585008e-17	1.0	0.0
,,group_33946	70.0	5.93044585008e-17	1.0	0.0
,,group_7409	70.0	5.93044585008e-17	1.0	0.0
,,group_34052	70.0	5.93044585008e-17	1.0	0.0
,,group_24529	70.0	5.93044585008e-17	1.0	0.0
,,group_38251	70.0	5.93044585008e-17	1.0	0.0
,,group_34001	70.0	5.93044585008e-17	1.0	0.0
,,group_24571	70.0	5.93044585008e-17	1.0	0.0
,,group_24539	70.0	5.93044585008e-17	1.0	0.0
