feature	score	p-value	#I-out-of-72	#O-out-of-334
,,group_8408	27.5783382729	1.50858823978e-07	28.0	38.0
,,group_29796	26.5751164338	2.53487684155e-07	8.0	2.0
,,group_17733	23.7186568891	1.11496420627e-06	13.0	10.0
,,group_17732	23.7186568891	1.11496420627e-06	13.0	10.0
,,group_86	23.7186568891	1.11496420627e-06	13.0	10.0
,,group_24847	23.7186568891	1.11496420627e-06	13.0	10.0
,,group_3413	22.8138057219	1.78478994878e-06	17.0	18.0
,,group_29793	22.8026371499	1.79519203054e-06	8.0	3.0
,,group_29792	22.8026371499	1.79519203054e-06	8.0	3.0
,,group_35534	22.2408701116	2.40499614141e-06	7.0	2.0
,,group_35533	22.2408701116	2.40499614141e-06	7.0	2.0
,,intA	21.7166500333	3.16036352231e-06	35.0	63.0
,,group_2923	21.4084331337	3.71135187738e-06	15.0	15.0
,,group_17715	21.389544144	3.74809639962e-06	16.0	17.0
,,group_12677	20.1205655356	7.2710624829e-06	13.0	12.0
,,prsE_2	19.9656654433	7.88453071966e-06	15.0	16.0
,,clpX_2	19.6948325571	9.08466900628e-06	8.0	4.0
,,group_26850	19.6948325571	9.08466900628e-06	8.0	4.0
,,group_26851	19.6948325571	9.08466900628e-06	8.0	4.0
,,group_26852	19.6948325571	9.08466900628e-06	8.0	4.0
,,group_2745	19.6736331259	9.1860135639e-06	10.0	7.0
,,group_2753	19.6736331259	9.1860135639e-06	10.0	7.0
,,group_2123	19.03833167	1.28118772497e-05	11.0	9.0
,,group_13691	19.03833167	1.28118772497e-05	11.0	9.0
,,group_9975	18.9518399099	1.34059934388e-05	32.0	59.0
,,group_19114	18.7245675316	1.51024136614e-05	7.0	3.0
,,group_21551	18.6992970581	1.53038894569e-05	12.0	11.0
,,group_17525	18.6992970581	1.53038894569e-05	12.0	11.0
,,hsdR	18.6992970581	1.53038894569e-05	12.0	11.0
,,group_14307	18.6992970581	1.53038894569e-05	12.0	11.0
,,group_14286	18.6980876956	1.53135988366e-05	24.0	38.0
,,group_7429	18.6980876956	1.53135988366e-05	24.0	38.0
,,group_12016	18.5539753826	1.65160417826e-05	13.0	13.0
,,group_10183	18.5539753826	1.65160417826e-05	13.0	13.0
,,tatD_2	18.3673652695	1.82151219043e-05	9.0	6.0
,,queC_3	18.3673652695	1.82151219043e-05	9.0	6.0
,,group_26373	18.3673652695	1.82151219043e-05	9.0	6.0
,,group_26372	18.3673652695	1.82151219043e-05	9.0	6.0
,,group_14518	17.9827844311	2.22911840628e-05	6.0	2.0
,,spo0C	17.9028609448	2.32471381824e-05	24.0	39.0
,,group_23989	17.9028609448	2.32471381824e-05	24.0	39.0
,,group_17502	17.9028609448	2.32471381824e-05	24.0	39.0
,,group_17503	17.9028609448	2.32471381824e-05	24.0	39.0
,,group_23988	17.9028609448	2.32471381824e-05	24.0	39.0
,,group_6165	17.9028609448	2.32471381824e-05	24.0	39.0
,,group_23990	17.9028609448	2.32471381824e-05	24.0	39.0
,,group_17504	17.9028609448	2.32471381824e-05	24.0	39.0
,,group_17501	17.9028609448	2.32471381824e-05	24.0	39.0
,,group_16648	17.8330997182	2.4115155716e-05	31.0	58.0
,,group_689	17.7242361156	2.55352416498e-05	32.0	61.0
,,mdtE_1	17.7242361156	2.55352416498e-05	32.0	61.0
,,group_13792	17.7242361156	2.55352416498e-05	32.0	61.0
,,acrR_2	17.7242361156	2.55352416498e-05	32.0	61.0
,,cnrA	17.7242361156	2.55352416498e-05	32.0	61.0
,,group_21796	17.7242361156	2.55352416498e-05	32.0	61.0
,,group_21791	17.7242361156	2.55352416498e-05	32.0	61.0
,,group_21795	17.7242361156	2.55352416498e-05	32.0	61.0
,,group_1326	17.5171432497	2.84728743792e-05	19.0	27.0
,,group_1024	17.3816457993	3.05764422166e-05	15.0	18.0
,,group_17779	17.2791638944	3.22706113807e-05	11.0	10.0
,,group_24060	17.2791638944	3.22706113807e-05	11.0	10.0
,,group_24762	17.2791638944	3.22706113807e-05	11.0	10.0
,,group_24058	17.2791638944	3.22706113807e-05	11.0	10.0
,,group_24059	17.2791638944	3.22706113807e-05	11.0	10.0
,,group_5476	17.2791638944	3.22706113807e-05	11.0	10.0
,,group_26497	17.2791638944	3.22706113807e-05	11.0	10.0
,,group_13791	17.136903498	3.47799226435e-05	32.0	62.0
,,group_21793	17.136903498	3.47799226435e-05	32.0	62.0
,,group_21794	17.136903498	3.47799226435e-05	32.0	62.0
,,ptlF	17.136903498	3.47799226435e-05	32.0	62.0
,,group_13790	17.136903498	3.47799226435e-05	32.0	62.0
,,group_16647	17.136903498	3.47799226435e-05	32.0	62.0
,,hipB	17.0983161881	3.54937593055e-05	8.0	5.0
,,group_9974	17.0666167665	3.60911807077e-05	33.0	65.0
,,ptlG	16.5664740694	4.69741313259e-05	32.0	63.0
,,group_26367	16.2695546407	5.49396418157e-05	9.0	7.0
,,group_19102	16.2695546407	5.49396418157e-05	9.0	7.0
,,group_26368	16.2695546407	5.49396418157e-05	9.0	7.0
,,group_8393	16.2695546407	5.49396418157e-05	9.0	7.0
,,group_18041	16.2695546407	5.49396418157e-05	9.0	7.0
,,group_4134	16.2226576259	5.63165176764e-05	15.0	19.0
,,group_376	16.2226576259	5.63165176764e-05	15.0	19.0
,,group_16650	16.0663473777	6.11613248951e-05	31.0	61.0
,,group_11679	16.0663473777	6.11613248951e-05	31.0	61.0
,,mkl_1	16.0663473777	6.11613248951e-05	31.0	61.0
,,group_16649	16.0663473777	6.11613248951e-05	31.0	61.0
,,group_11680	16.0663473777	6.11613248951e-05	31.0	61.0
,,group_4632	15.9845684974	6.38609061818e-05	14.0	17.0
,,cia	15.9845684974	6.38609061818e-05	14.0	17.0
,,group_15999	15.886787032	6.72465562687e-05	7.0	4.0
,,group_31541	15.886787032	6.72465562687e-05	7.0	4.0
,,group_18678	15.886787032	6.72465562687e-05	7.0	4.0
,,group_12015	15.886787032	6.72465562687e-05	7.0	4.0
,,group_31538	15.886787032	6.72465562687e-05	7.0	4.0
,,group_17723	15.886787032	6.72465562687e-05	7.0	4.0
,,group_16325	15.886787032	6.72465562687e-05	7.0	4.0
,,group_2329	15.8605245649	6.81862581528e-05	10.0	9.0
,,group_22366	15.8605245649	6.81862581528e-05	10.0	9.0
,,group_9840	15.8605245649	6.81862581528e-05	10.0	9.0
,,group_2747	15.8026862941	7.03026236625e-05	13.0	15.0
,,group_17526	15.6995176314	7.42431016758e-05	11.0	11.0
,,group_25807	15.6995176314	7.42431016758e-05	11.0	11.0
,,group_13794	15.5120314926	8.19817840428e-05	31.0	62.0
,,group_11684	15.4742336633	8.36376443357e-05	32.0	65.0
,,group_5350	15.4742336633	8.36376443357e-05	32.0	65.0
,,ptlH	15.4742336633	8.36376443357e-05	32.0	65.0
,,group_18022	15.4708127604	8.37891589641e-05	16.0	22.0
,,group_16561	15.2922155689	9.20952495461e-05	18.0	27.0
,,group_14287	15.0236839753	0.000106170356623	24.0	43.0
,,group_920	14.9418956205	0.000110873285748	33.0	69.0
,,group_579	14.9418956205	0.000110873285748	33.0	69.0
,,group_1176	14.9035262808	0.000113151280192	8.0	6.0
,,group_6386	14.9035262808	0.000113151280192	8.0	6.0
,,group_13750	14.9035262808	0.000113151280192	8.0	6.0
,,group_17078	14.8897482812	0.000113980728663	17.0	25.0
,,group_28645	14.7711244178	0.000121380016798	6.0	3.0
,,group_35532	14.7711244178	0.000121380016798	6.0	3.0
,,group_22567	14.7711244178	0.000121380016798	6.0	3.0
,,group_16976	14.7711244178	0.000121380016798	6.0	3.0
,,group_16979	14.7711244178	0.000121380016798	6.0	3.0
,,group_4935	14.7711244178	0.000121380016798	6.0	3.0
,,group_16981	14.7711244178	0.000121380016798	6.0	3.0
,,group_14001	14.7711244178	0.000121380016798	6.0	3.0
,,dnaJ_2	14.7711244178	0.000121380016798	6.0	3.0
,,group_22569	14.7711244178	0.000121380016798	6.0	3.0
,,group_16977	14.7711244178	0.000121380016798	6.0	3.0
,,group_16960	14.7711244178	0.000121380016798	6.0	3.0
,,group_14300	14.7711244178	0.000121380016798	6.0	3.0
,,group_8216	14.7711244178	0.000121380016798	6.0	3.0
,,group_22570	14.7711244178	0.000121380016798	6.0	3.0
,,group_16978	14.7711244178	0.000121380016798	6.0	3.0
,,group_35536	14.7711244178	0.000121380016798	6.0	3.0
,,group_4758	14.7711244178	0.000121380016798	6.0	3.0
,,group_7033	14.7711244178	0.000121380016798	6.0	3.0
,,group_35540	14.7711244178	0.000121380016798	6.0	3.0
,,group_19042	14.7711244178	0.000121380016798	6.0	3.0
,,group_14936	14.7711244178	0.000121380016798	6.0	3.0
,,group_14002	14.7711244178	0.000121380016798	6.0	3.0
,,group_17856	14.7711244178	0.000121380016798	6.0	3.0
,,group_3187	14.7711244178	0.000121380016798	6.0	3.0
,,group_35531	14.7711244178	0.000121380016798	6.0	3.0
,,group_22568	14.7711244178	0.000121380016798	6.0	3.0
,,group_35530	14.7711244178	0.000121380016798	6.0	3.0
,,group_35535	14.7711244178	0.000121380016798	6.0	3.0
,,group_16980	14.7711244178	0.000121380016798	6.0	3.0
,,group_13987	14.7711244178	0.000121380016798	6.0	3.0
,,group_14419	14.5916500333	0.000133504796291	13.0	16.0
,,group_26376	14.443906305	0.000144396286868	9.0	8.0
,,group_26377	14.443906305	0.000144396286868	9.0	8.0
,,group_26379	14.443906305	0.000144396286868	9.0	8.0
,,group_21584	14.443906305	0.000144396286868	9.0	8.0
,,group_21582	14.443906305	0.000144396286868	9.0	8.0
,,group_21583	14.443906305	0.000144396286868	9.0	8.0
,,group_18040	14.443906305	0.000144396286868	9.0	8.0
,,group_26374	14.443906305	0.000144396286868	9.0	8.0
,,group_26378	14.443906305	0.000144396286868	9.0	8.0
,,group_4204	14.443906305	0.000144396286868	9.0	8.0
,,group_60	14.443906305	0.000144396286868	9.0	8.0
,,group_26375	14.443906305	0.000144396286868	9.0	8.0
,,group_13472	14.443906305	0.000144396286868	9.0	8.0
,,tal_2	14.4431137725	0.000144457061518	0.0	67.0
,,bshA_2	14.4431137725	0.000144457061518	0.0	67.0
,,group_12641	14.4431137725	0.000144457061518	0.0	67.0
,,group_12640	14.4431137725	0.000144457061518	0.0	67.0
,,group_2592	14.2759770314	0.000157866845724	11.0	12.0
,,group_25797	14.2722887558	0.000158176494996	10.0	10.0
,,group_25804	14.2722887558	0.000158176494996	10.0	10.0
,,yqhD	14.2722887558	0.000158176494996	10.0	10.0
,,group_17941	14.2722887558	0.000158176494996	10.0	10.0
,,group_25799	14.2722887558	0.000158176494996	10.0	10.0
,,group_17945	14.2722887558	0.000158176494996	10.0	10.0
,,group_17940	14.2722887558	0.000158176494996	10.0	10.0
,,group_18013	14.2722887558	0.000158176494996	10.0	10.0
,,group_25803	14.2722887558	0.000158176494996	10.0	10.0
,,group_25800	14.2722887558	0.000158176494996	10.0	10.0
,,frp	14.2722887558	0.000158176494996	10.0	10.0
,,pucB_1	14.2722887558	0.000158176494996	10.0	10.0
,,gabD1	14.2722887558	0.000158176494996	10.0	10.0
,,group_25802	14.2722887558	0.000158176494996	10.0	10.0
,,group_25801	14.2722887558	0.000158176494996	10.0	10.0
,,group_7020	14.0508600286	0.000177932443208	22.0	39.0
,,group_13783	14.0084520881	0.00018199072361	17.0	26.0
,,group_31499	13.9166666667	0.000191096440991	3.0	0.0
,,group_18390	13.9166666667	0.000191096440991	3.0	0.0
,,group_21585	13.9166666667	0.000191096440991	3.0	0.0
,,group_18391	13.9166666667	0.000191096440991	3.0	0.0
,,group_22364	13.9166666667	0.000191096440991	3.0	0.0
,,group_2099	13.9166666667	0.000191096440991	3.0	0.0
,,group_2286	13.9166666667	0.000191096440991	3.0	0.0
,,group_31498	13.9166666667	0.000191096440991	3.0	0.0
,,group_8773	13.9166666667	0.000191096440991	3.0	0.0
,,group_14501	13.8334996673	0.000199743005006	5.0	2.0
PA14_66160,,group_7671	13.7352017277	0.000210472476866	6.0	116.0
,,group_11622	13.6232641101	0.0002233999441	18.0	29.0
,,group_31537	13.5578980927	0.00023131599132	7.0	5.0
,,group_31534	13.5578980927	0.00023131599132	7.0	5.0
,,group_18680	13.5578980927	0.00023131599132	7.0	5.0
,,group_18681	13.5578980927	0.00023131599132	7.0	5.0
,,group_18679	13.5578980927	0.00023131599132	7.0	5.0
,,group_14826	13.5578980927	0.00023131599132	7.0	5.0
,,group_31540	13.5578980927	0.00023131599132	7.0	5.0
,,group_3695	13.5578980927	0.00023131599132	7.0	5.0
,,group_31539	13.5578980927	0.00023131599132	7.0	5.0
,,group_14825	13.5578980927	0.00023131599132	7.0	5.0
,,era_1	13.5578980927	0.00023131599132	7.0	5.0
,,group_31532	13.5578980927	0.00023131599132	7.0	5.0
,,group_31536	13.5578980927	0.00023131599132	7.0	5.0
,,group_31533	13.5578980927	0.00023131599132	7.0	5.0
,,group_36008	13.2875582169	0.000267173220073	4.0	1.0
,,group_36006	13.2875582169	0.000267173220073	4.0	1.0
,,group_36002	13.2875582169	0.000267173220073	4.0	1.0
,,group_36004	13.2875582169	0.000267173220073	4.0	1.0
,,group_19139	13.2875582169	0.000267173220073	4.0	1.0
,,group_36005	13.2875582169	0.000267173220073	4.0	1.0
,,group_7449	13.2875582169	0.000267173220073	4.0	1.0
,,group_36007	13.2875582169	0.000267173220073	4.0	1.0
,,group_1163	13.2875582169	0.000267173220073	4.0	1.0
,,group_664	13.2875582169	0.000267173220073	4.0	1.0
,,group_36003	13.2875582169	0.000267173220073	4.0	1.0
,,group_36001	13.2875582169	0.000267173220073	4.0	1.0
,,group_36009	13.2875582169	0.000267173220073	4.0	1.0
,,group_3854	13.2875582169	0.000267173220073	4.0	1.0
,,group_9066	13.2875582169	0.000267173220073	4.0	1.0
,,group_26844	13.2875582169	0.000267173220073	4.0	1.0
,,group_36000	13.2875582169	0.000267173220073	4.0	1.0
,,group_7343	13.2508946753	0.000272449804195	23.0	43.0
,,group_11222	13.0301175427	0.00030652131036	8.0	7.0
,,group_20990	13.0301175427	0.00030652131036	8.0	7.0
,,group_26766	13.0301175427	0.00030652131036	8.0	7.0
,,group_11820	13.0301175427	0.00030652131036	8.0	7.0
,,group_4323	12.9890288867	0.000313321429076	11.0	13.0
,,group_7440	12.9890288867	0.000313321429076	11.0	13.0
,,curA_1	12.8558438678	0.000336426959291	10.0	11.0
,,group_17944	12.8558438678	0.000336426959291	10.0	11.0
,,pucA_1	12.8558438678	0.000336426959291	10.0	11.0
,,group_25805	12.8558438678	0.000336426959291	10.0	11.0
,,group_21588	12.8544161677	0.000336683734346	18.0	30.0
,,group_9947	12.8544161677	0.000336683734346	18.0	30.0
,,group_3834	12.8544161677	0.000336683734346	18.0	30.0
,,group_21593	12.8544161677	0.000336683734346	18.0	30.0
,,group_11627	12.8544161677	0.000336683734346	18.0	30.0
,,group_13705	12.8544161677	0.000336683734346	18.0	30.0
,,group_21589	12.8544161677	0.000336683734346	18.0	30.0
,,group_16564	12.8544161677	0.000336683734346	18.0	30.0
,,group_25808	12.8450598802	0.000338371382038	9.0	9.0
,,group_11953	12.8450598802	0.000338371382038	9.0	9.0
,,group_14531	12.8450598802	0.000338371382038	9.0	9.0
,,group_14222	12.8450598802	0.000338371382038	9.0	9.0
,,group_21587	12.8450598802	0.000338371382038	9.0	9.0
,,group_21586	12.8450598802	0.000338371382038	9.0	9.0
,,wbpD	12.502994012	0.000406300363463	0.0	58.0
,,wbpE	12.502994012	0.000406300363463	0.0	58.0
,,group_6401	12.4456946322	0.000418956442874	13.0	18.0
,,group_6474	12.4456946322	0.000418956442874	13.0	18.0
PA14_48450,,group_9220	12.3036064623	0.000452083905272	2.0	76.0
,,group_13350	12.2874251497	0.000456020443784	0.0	57.0
,,wbpB	12.2874251497	0.000456020443784	0.0	57.0
,,wbnH	12.2874251497	0.000456020443784	0.0	57.0
,,group_20682	12.2874251497	0.000456020443784	0.0	57.0
,,group_13344	12.2449101796	0.000466528991557	6.0	4.0
,,group_16975	12.2449101796	0.000466528991557	6.0	4.0
,,group_14006	12.2449101796	0.000466528991557	6.0	4.0
,,group_13986	12.2449101796	0.000466528991557	6.0	4.0
,,group_354	12.2449101796	0.000466528991557	6.0	4.0
,,group_35537	12.2449101796	0.000466528991557	6.0	4.0
,,group_14000	12.2449101796	0.000466528991557	6.0	4.0
,,group_7208	12.2449101796	0.000466528991557	6.0	4.0
,,group_35538	12.2449101796	0.000466528991557	6.0	4.0
,,group_881	12.2328260146	0.000469560232285	34.0	78.0
PA14_66100,,group_5734	12.2276436287	0.000470866285323	7.0	116.0
,,aldA	12.1137724551	0.000500507756441	12.0	16.0
PA14_48500,,group_9216	12.0926026734	0.000506222610974	2.0	75.0
,,group_11310	12.0718562874	0.0005118870707	0.0	56.0
,,group_8567	11.9352406299	0.000550820131092	16.0	26.0
,,group_10950	11.9352406299	0.000550820131092	16.0	26.0
,,group_16553	11.921443277	0.000554914719729	19.0	34.0
,,group_16394	11.8939454424	0.000563167035007	14.0	21.0
PA14_59290,pilQ2,tcpT	11.8407351963	0.000579489421901	11.0	143.0
PA14_59310,pilR2,tcpE	11.8407351963	0.000579489421901	11.0	143.0
,,group_11811	11.8222821025	0.00058526082711	11.0	14.0
,,group_16840	11.6507022188	0.000641783039799	17.0	29.0
,,group_2908	11.6507022188	0.000641783039799	17.0	29.0
,,group_11436	11.6204641998	0.000652301192481	7.0	6.0
,,group_9638	11.6204641998	0.000652301192481	7.0	6.0
,,group_10242	11.6204641998	0.000652301192481	7.0	6.0
,,group_30055	11.6204641998	0.000652301192481	7.0	6.0
,,group_17023	11.6204641998	0.000652301192481	7.0	6.0
PA14_59360,pilM2,group_1276	11.4863772455	0.000701081564154	12.0	148.0
PA14_51620,,group_41794	11.4850683249	0.000701575478006	15.0	24.0
,,group_62	11.4850683249	0.000701575478006	15.0	24.0
,,group_3009	11.473710114	0.000705876222126	24.0	49.0
,,group_5316	11.4571916773	0.000712178446939	25.0	52.0
,,group_9948	11.4372045383	0.000719880132382	9.0	10.0
,,group_8565	11.4348502994	0.000720792818048	18.0	32.0
,,group_13704	11.4348502994	0.000720792818048	18.0	32.0
