feature	score	p-value	#I-out-of-206	#O-out-of-220
,,group_14286	23.8321283942	1.05113262936e-06	53.0	15.0
,,group_7429	23.8321283942	1.05113262936e-06	53.0	15.0
,,group_14287	23.5032233493	1.24704664929e-06	56.0	17.0
,,group_11684	22.7537588154	1.84143606937e-06	74.0	29.0
,,group_41853	22.7098466461	1.88399976371e-06	50.0	14.0
,,spo0C	22.371188457	2.24720015569e-06	53.0	16.0
,,group_23989	22.371188457	2.24720015569e-06	53.0	16.0
,,group_17502	22.371188457	2.24720015569e-06	53.0	16.0
,,group_17503	22.371188457	2.24720015569e-06	53.0	16.0
,,group_23988	22.371188457	2.24720015569e-06	53.0	16.0
,,group_6165	22.371188457	2.24720015569e-06	53.0	16.0
,,group_23990	22.371188457	2.24720015569e-06	53.0	16.0
,,group_17504	22.371188457	2.24720015569e-06	53.0	16.0
,,group_17501	22.371188457	2.24720015569e-06	53.0	16.0
,,blm	21.6619924978	3.2517066139e-06	23.0	1.0
,,group_13794	21.6333467063	3.30063238391e-06	71.0	28.0
,,ant1	21.1563401	4.23298551168e-06	25.0	2.0
,,group_16650	20.8889673433	4.86689683492e-06	70.0	28.0
,,group_11679	20.8889673433	4.86689683492e-06	70.0	28.0
,,mkl_1	20.8889673433	4.86689683492e-06	70.0	28.0
,,group_16649	20.8889673433	4.86689683492e-06	70.0	28.0
,,group_11680	20.8889673433	4.86689683492e-06	70.0	28.0
,,group_10837	19.981213473	7.82067747978e-06	55.0	19.0
,,group_9806	19.8058282862	8.57208954786e-06	26.0	3.0
,,mdtE_1	19.8029447164	8.58503126786e-06	70.0	29.0
,,group_13792	19.8029447164	8.58503126786e-06	70.0	29.0
,,acrR_2	19.8029447164	8.58503126786e-06	70.0	29.0
,,cnrA	19.8029447164	8.58503126786e-06	70.0	29.0
,,group_21796	19.8029447164	8.58503126786e-06	70.0	29.0
,,group_21791	19.8029447164	8.58503126786e-06	70.0	29.0
,,group_21795	19.8029447164	8.58503126786e-06	70.0	29.0
,,group_4525	19.1808497261	1.18900243598e-05	54.0	19.0
,,group_13791	18.7573698147	1.48448563346e-05	70.0	30.0
,,group_21793	18.7573698147	1.48448563346e-05	70.0	30.0
,,group_21794	18.7573698147	1.48448563346e-05	70.0	30.0
,,ptlF	18.7573698147	1.48448563346e-05	70.0	30.0
,,group_13790	18.7573698147	1.48448563346e-05	70.0	30.0
,,group_16647	18.7573698147	1.48448563346e-05	70.0	30.0
,,group_9975	18.3683942821	1.82052870742e-05	68.0	29.0
,,group_689	18.053438177	2.14790405747e-05	69.0	30.0
,,group_14040	17.7619593998	2.50338843533e-05	24.0	3.0
,,ptlG	17.7510412206	2.51779654982e-05	70.0	31.0
,,hsdR_1	16.7453357322	4.27472205869e-05	23.0	3.0
,,group_9974	16.5124253174	4.83323018447e-05	71.0	33.0
,,group_13308	16.4127600555	5.09411516269e-05	55.0	22.0
,,group_16064	16.4127600555	5.09411516269e-05	55.0	22.0
,,group_13805	16.4127600555	5.09411516269e-05	55.0	22.0
,,group_17112	16.3660937427	5.22109185257e-05	18.0	1.0
,,group_17113	16.3660937427	5.22109185257e-05	18.0	1.0
,,group_4732	16.0383685981	6.20717583149e-05	53.0	21.0
,,group_11732	16.0383685981	6.20717583149e-05	53.0	21.0
,,group_778	15.9180494263	6.61449167579e-05	42.0	14.0
,,group_9217	15.8515505703	6.85103768933e-05	70.0	33.0
,,group_5350	15.8515505703	6.85103768933e-05	70.0	33.0
,,group_1619	15.7759090186	7.13046896421e-05	45.0	16.0
,,group_22720	15.7328190644	7.29474663716e-05	22.0	3.0
,,group_14033	15.7328190644	7.29474663716e-05	22.0	3.0
,,group_7377	15.7328190644	7.29474663716e-05	22.0	3.0
,,group_22719	15.7328190644	7.29474663716e-05	22.0	3.0
,,group_22718	15.7328190644	7.29474663716e-05	22.0	3.0
,,group_20516	15.6759836484	7.5172659154e-05	54.0	22.0
,,group_20517	15.6759836484	7.5172659154e-05	54.0	22.0
,,group_11276	15.6759836484	7.5172659154e-05	54.0	22.0
,,group_20515	15.6759836484	7.5172659154e-05	54.0	22.0
,,katA_1	15.6663724625	7.55556457921e-05	51.0	20.0
PA14_43080,,group_491	15.6034588419	7.81115736586e-05	40.0	13.0
,,group_16736	15.4369312475	8.53047934135e-05	43.0	15.0
,,group_26388	15.3946601942	8.72344582768e-05	2.0	22.0
,,group_21529	15.3946601942	8.72344582768e-05	2.0	22.0
