feature	score	p-value	#I-out-of-135	#O-out-of-14
PA14_59190	1305.10858036	8.77116420334e-286	465.0	388.0
PA14_15380,repA	903.482050175	1.71738033493e-198	116.0	178.0
PA14_15630	823.628827289	3.93388060864e-181	1594.0	598.0
PA14_15620	802.487123542	1.55351960686e-176	1440.0	557.0
PA14_15435	763.874395806	3.86051202063e-168	8136.0	39.0
PA14_23350,orfA	722.080907164	4.72248966218e-159	581.0	320.0
PA14_15450,merD	646.299633935	1.42518544492e-142	7376.0	59.0
PA14_15370	619.201714286	1.11527397557e-136	18.0	82.0
PA14_15650	613.494541456	1.94393908972e-135	1968.0	609.0
PA14_15445,merE	568.643805895	1.10745467918e-125	7254.0	94.0
PA14_49020	534.681469191	2.70693723904e-118	2834.0	739.0
PA14_49510,pyoS3I	525.891071013	2.21245840679e-116	5700.0	32.0
PA14_15660	518.762538014	7.86626806469e-115	1911.0	563.0
PA14_15420	497.64356351	3.09517858318e-110	7123.0	127.0
PA14_22190	480.666666667	1.52995515445e-106	4635.0	0.0
PA14_14430	474.775609396	2.92800788009e-105	2286.0	615.0
PA14_15475,merT	470.357015896	2.67965887799e-104	8858.0	252.0
PA14_22080	464.324974352	5.50442062132e-103	4835.0	18.0
PA14_22270	457.63270455	1.57419489405e-101	5430.0	53.0
PA14_15470,merP	451.099001617	4.15856086147e-100	7907.0	204.0
PA14_22230	428.918064052	2.79493678655e-95	4356.0	11.0
PA14_22210	424.874074074	2.12109823458e-94	4097.0	0.0
PA14_22220	421.591824128	1.09892603441e-93	4305.0	12.0
PA14_22120	419.33588584	3.40407276728e-93	4224.0	9.0
PA14_22090	415.833910078	1.96904505914e-92	4210.0	10.0
PA14_14420	405.785659719	3.03034131688e-90	1694.0	478.0
PA14_22100	405.377777778	3.71774245045e-90	3909.0	0.0
PA14_15490	400.155466667	5.09438226726e-89	48.0	77.0
PA14_22140	387.437037037	2.99117663382e-86	3736.0	0.0
PA14_35730	383.558272602	2.09063758627e-85	718.0	273.0
PA14_22240	374.162962963	2.32167559057e-83	3608.0	0.0
PA14_22250	371.674074074	8.08534366422e-83	3584.0	0.0
PA14_15430,tnpR	366.162231598	1.28176047679e-81	6298.0	158.0
PA14_22110	363.576020935	4.68733744023e-81	3686.0	9.0
PA14_50310	348.996328423	7.00977686799e-78	1451.0	410.0
PA14_22180	342.740740741	1.61433243339e-76	3305.0	0.0
PA14_50330	339.780139403	7.12446688431e-76	1663.0	445.0
PA14_22260	336.622222222	3.47137204496e-75	3246.0	0.0
PA14_53640	326.878350389	4.59935009089e-73	1489.0	408.0
PA14_22130	326.148148148	6.63346680866e-73	3145.0	0.0
PA14_50320	324.290625872	1.68394982119e-72	1473.0	404.0
PA14_15480,merR	319.003870849	2.38715586764e-71	8335.0	329.0
PA14_39220	317.442936198	5.22266273038e-71	2570.0	589.0
PA14_15360	317.302598966	5.60352413567e-71	355.0	168.0
PA14_48230	315.242997983	1.5743569437e-70	1417.0	390.0
PA14_15400,repC	305.252910053	2.36249923256e-68	182.0	116.0
PA14_53620	303.637456834	5.31260676961e-68	2237.0	527.0
PA14_59630	302.831805256	7.95840203265e-68	4631.0	95.0
PA14_48990	299.160989423	5.01838937876e-67	860.0	277.0
PA14_15460,merA	299.020673011	5.38436980376e-67	8647.0	368.0
PA14_48970	290.477202297	3.91361900386e-65	1364.0	370.0
PA14_15410	283.829263926	1.09939317471e-63	6718.0	244.0
PA14_48920	283.042184821	1.63178866529e-63	995.0	298.0
PA14_14560	282.579465101	2.05823537418e-63	237.0	128.0
PA14_03265	276.482650104	4.38636382375e-62	2865.0	10.0
PA14_59620	273.67433477	1.79524468792e-61	4171.0	85.0
PA14_10130	270.794618605	7.61599267021e-61	4885.0	910.0
PA14_48910	269.523022575	1.44166626896e-60	1879.0	450.0
PA14_15530,trbK	266.447371902	6.74850768038e-60	79.0	73.0
