feature	score	p-value	#I-out-of-334	#O-out-of-92
,,tatD_2	27.6740692528	1.43574442827e-07	6.0	14.0
,,queC_3	27.6740692528	1.43574442827e-07	6.0	14.0
,,group_26373	27.6740692528	1.43574442827e-07	6.0	14.0
,,group_26372	27.6740692528	1.43574442827e-07	6.0	14.0
,,group_19114	26.8401179008	2.21001540488e-07	3.0	11.0
,,group_3413	26.3593985941	2.83436317848e-07	18.0	22.0
,,group_17715	25.4375402513	4.5693926013e-07	17.0	21.0
,,group_26367	25.1934392085	5.18583125457e-07	7.0	14.0
,,group_19102	25.1934392085	5.18583125457e-07	7.0	14.0
,,group_26368	25.1934392085	5.18583125457e-07	7.0	14.0
,,group_18041	25.1934392085	5.18583125457e-07	7.0	14.0
,,group_8408	24.0473388626	9.39960787718e-07	38.0	32.0
,,group_16325	23.712652955	1.11844789681e-06	4.0	11.0
,,group_29796	23.560637618	1.21038402005e-06	2.0	9.0
,,group_4758	23.5017323213	1.24801345863e-06	3.0	10.0
,,group_26376	22.9633618139	1.6511850136e-06	8.0	14.0
,,group_26377	22.9633618139	1.6511850136e-06	8.0	14.0
,,group_26379	22.9633618139	1.6511850136e-06	8.0	14.0
,,group_18040	22.9633618139	1.6511850136e-06	8.0	14.0
,,group_26374	22.9633618139	1.6511850136e-06	8.0	14.0
,,group_26378	22.9633618139	1.6511850136e-06	8.0	14.0
,,group_26375	22.9633618139	1.6511850136e-06	8.0	14.0
,,group_24762	21.7757094507	3.06455544251e-06	10.0	15.0
,,group_10106	21.010552265	4.56760736527e-06	5.0	11.0
,,hipB	21.010552265	4.56760736527e-06	5.0	11.0
,,intA	21.0032803957	4.5849766254e-06	63.0	42.0
,,group_18022	20.9647227285	4.67818738161e-06	22.0	22.0
,,group_14531	20.9511562886	4.71143372201e-06	9.0	14.0
,,group_17599	20.5321902778	5.8636810053e-06	4.0	10.0
,,group_7208	20.5321902778	5.8636810053e-06	4.0	10.0
,,group_17600	20.5321902778	5.8636810053e-06	4.0	10.0
,,group_14000	20.5321902778	5.8636810053e-06	4.0	10.0
,,group_17596	20.5321902778	5.8636810053e-06	4.0	10.0
,,group_14286	20.3697030491	6.38324364746e-06	38.0	30.0
,,group_7429	20.3697030491	6.38324364746e-06	38.0	30.0
,,group_22567	20.212021609	6.93159636423e-06	3.0	9.0
,,group_16976	20.212021609	6.93159636423e-06	3.0	9.0
,,group_16979	20.212021609	6.93159636423e-06	3.0	9.0
,,group_16981	20.212021609	6.93159636423e-06	3.0	9.0
,,group_14001	20.212021609	6.93159636423e-06	3.0	9.0
,,group_22569	20.212021609	6.93159636423e-06	3.0	9.0
,,group_16977	20.212021609	6.93159636423e-06	3.0	9.0
,,group_16960	20.212021609	6.93159636423e-06	3.0	9.0
,,group_22570	20.212021609	6.93159636423e-06	3.0	9.0
,,group_16978	20.212021609	6.93159636423e-06	3.0	9.0
,,group_22411	20.212021609	6.93159636423e-06	3.0	9.0
,,group_29793	20.212021609	6.93159636423e-06	3.0	9.0
,,group_14002	20.212021609	6.93159636423e-06	3.0	9.0
,,group_16982	20.212021609	6.93159636423e-06	3.0	9.0
,,group_22568	20.212021609	6.93159636423e-06	3.0	9.0
,,group_29792	20.212021609	6.93159636423e-06	3.0	9.0
,,group_16980	20.212021609	6.93159636423e-06	3.0	9.0
,,group_13987	20.212021609	6.93159636423e-06	3.0	9.0
,,group_35534	20.1449622494	7.17890755885e-06	2.0	8.0
,,group_35533	20.1449622494	7.17890755885e-06	2.0	8.0
,,group_1326	19.5280947057	9.91309480375e-06	27.0	24.0
,,spo0C	19.5123099736	9.99534714988e-06	39.0	30.0
,,group_23989	19.5123099736	9.99534714988e-06	39.0	30.0
,,group_17502	19.5123099736	9.99534714988e-06	39.0	30.0
,,group_17503	19.5123099736	9.99534714988e-06	39.0	30.0
,,group_23988	19.5123099736	9.99534714988e-06	39.0	30.0
,,group_6165	19.5123099736	9.99534714988e-06	39.0	30.0
,,group_23990	19.5123099736	9.99534714988e-06	39.0	30.0
,,group_7020	19.5123099736	9.99534714988e-06	39.0	30.0
,,group_17504	19.5123099736	9.99534714988e-06	39.0	30.0
,,group_17501	19.5123099736	9.99534714988e-06	39.0	30.0
,,group_20990	19.3831376149	1.06947212482e-05	7.0	12.0
,,group_8418	19.3831376149	1.06947212482e-05	7.0	12.0
,,group_4323	19.3083518121	1.11218802185e-05	13.0	16.0
,,group_17733	19.1295886488	1.22136660509e-05	10.0	14.0
,,group_17779	19.1295886488	1.22136660509e-05	10.0	14.0
,,group_17732	19.1295886488	1.22136660509e-05	10.0	14.0
,,group_86	19.1295886488	1.22136660509e-05	10.0	14.0
,,group_24847	19.1295886488	1.22136660509e-05	10.0	14.0
,,group_11436	18.6587515506	1.56328057737e-05	6.0	11.0
,,group_17110	18.6587515506	1.56328057737e-05	6.0	11.0
,,group_30055	18.6587515506	1.56328057737e-05	6.0	11.0
,,group_17109	18.6587515506	1.56328057737e-05	6.0	11.0
,,group_13783	18.5857876085	1.62426999279e-05	26.0	23.0
,,group_4632	18.3961617138	1.79419032723e-05	17.0	18.0
,,group_22366	18.2661297957	1.92092429208e-05	9.0	13.0
,,group_8417	17.9953137204	2.21449458673e-05	5.0	10.0
,,group_9975	17.7029499942	2.5822582723e-05	59.0	38.0
,,group_16973	17.4457764313	2.95620368899e-05	16.0	17.0
,,prsE_2	17.4457764313	2.95620368899e-05	16.0	17.0
,,group_16942	17.4209540785	2.99505971358e-05	4.0	9.0
,,clpX_2	17.4209540785	2.99505971358e-05	4.0	9.0
,,group_16975	17.4209540785	2.99505971358e-05	4.0	9.0
,,group_14006	17.4209540785	2.99505971358e-05	4.0	9.0
,,group_13986	17.4209540785	2.99505971358e-05	4.0	9.0
,,group_26850	17.4209540785	2.99505971358e-05	4.0	9.0
,,group_26851	17.4209540785	2.99505971358e-05	4.0	9.0
,,group_26852	17.4209540785	2.99505971358e-05	4.0	9.0
,,group_21584	17.4205675605	2.99566879592e-05	8.0	12.0
,,group_21582	17.4205675605	2.99566879592e-05	8.0	12.0
,,group_21583	17.4205675605	2.99566879592e-05	8.0	12.0
,,group_6401	17.1529549596	3.44872487138e-05	18.0	18.0
,,group_3854	16.9958716108	3.74611834394e-05	1.0	6.0
,,group_22515	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22368	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_10067	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22562	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22561	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22372	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22566	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22571	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22574	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_16974	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22373	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22576	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22577	16.9842607276	3.76909741589e-05	3.0	8.0
,,yokD	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22564	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22563	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22514	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_32137	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22371	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22573	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_16933	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_14936	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22370	16.9842607276	3.76909741589e-05	3.0	8.0
,,nhaA_1	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_33815	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22572	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_1503	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22565	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_22516	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_32136	16.9842607276	3.76909741589e-05	3.0	8.0
,,group_12016	16.9070972961	3.92545360017e-05	13.0	15.0
,,group_7440	16.9070972961	3.92545360017e-05	13.0	15.0
,,group_10183	16.9070972961	3.92545360017e-05	13.0	15.0
,,group_16648	16.8913262719	3.95820431589e-05	58.0	37.0
,,group_35663	16.777011195	4.2039530063e-05	2.0	7.0
,,bcr_3	16.777011195	4.2039530063e-05	2.0	7.0
,,group_33240	16.777011195	4.2039530063e-05	2.0	7.0
,,group_35607	16.777011195	4.2039530063e-05	2.0	7.0
,,group_33239	16.777011195	4.2039530063e-05	2.0	7.0
,,group_26838	16.777011195	4.2039530063e-05	2.0	7.0
,,group_19113	16.777011195	4.2039530063e-05	2.0	7.0
,,group_35601	16.777011195	4.2039530063e-05	2.0	7.0
,,group_35665	16.777011195	4.2039530063e-05	2.0	7.0
,,group_35600	16.777011195	4.2039530063e-05	2.0	7.0
,,group_19112	16.777011195	4.2039530063e-05	2.0	7.0
,,group_35606	16.777011195	4.2039530063e-05	2.0	7.0
,,group_35664	16.777011195	4.2039530063e-05	2.0	7.0
,,group_8474	16.777011195	4.2039530063e-05	2.0	7.0
,,group_35599	16.777011195	4.2039530063e-05	2.0	7.0
,,tfaE	16.777011195	4.2039530063e-05	2.0	7.0
,,group_13517	16.5988674824	4.61785882508e-05	7.0	11.0
,,group_4192	16.5988674824	4.61785882508e-05	7.0	11.0
,,group_11820	16.5988674824	4.61785882508e-05	7.0	11.0
,,group_25797	16.569060367	4.69101119169e-05	10.0	13.0
,,group_25804	16.569060367	4.69101119169e-05	10.0	13.0
,,yqhD	16.569060367	4.69101119169e-05	10.0	13.0
,,group_17941	16.569060367	4.69101119169e-05	10.0	13.0
,,group_25799	16.569060367	4.69101119169e-05	10.0	13.0
,,group_17945	16.569060367	4.69101119169e-05	10.0	13.0
,,group_17940	16.569060367	4.69101119169e-05	10.0	13.0
,,group_25803	16.569060367	4.69101119169e-05	10.0	13.0
,,group_25800	16.569060367	4.69101119169e-05	10.0	13.0
,,frp	16.569060367	4.69101119169e-05	10.0	13.0
,,pucB_1	16.569060367	4.69101119169e-05	10.0	13.0
,,gabD1	16.569060367	4.69101119169e-05	10.0	13.0
,,group_25802	16.569060367	4.69101119169e-05	10.0	13.0
,,group_25801	16.569060367	4.69101119169e-05	10.0	13.0
,,pphA	16.4957210404	4.87599923931e-05	15.0	16.0
,,group_2923	16.4957210404	4.87599923931e-05	15.0	16.0
,,group_9633	16.4957210404	4.87599923931e-05	15.0	16.0
,,group_689	16.4777165038	4.92252366991e-05	61.0	38.0
,,mdtE_1	16.4777165038	4.92252366991e-05	61.0	38.0
,,group_13792	16.4777165038	4.92252366991e-05	61.0	38.0
,,acrR_2	16.4777165038	4.92252366991e-05	61.0	38.0
,,cnrA	16.4777165038	4.92252366991e-05	61.0	38.0
,,group_21796	16.4777165038	4.92252366991e-05	61.0	38.0
,,group_21791	16.4777165038	4.92252366991e-05	61.0	38.0
,,group_21795	16.4777165038	4.92252366991e-05	61.0	38.0
PA14_48500,,group_9216	16.414583594	5.08921693924e-05	75.0	2.0
,,group_14287	16.3931053914	5.14721159446e-05	43.0	30.0
,,group_950	16.2000130174	5.69937245893e-05	17.0	17.0
,,wbpD	15.9760479042	6.41489827009e-05	58.0	0.0
,,wbpE	15.9760479042	6.41489827009e-05	58.0	0.0
,,group_12677	15.9703803096	6.43413244133e-05	12.0	14.0
,,group_13791	15.8917417339	6.70707372274e-05	62.0	38.0
,,group_21793	15.8917417339	6.70707372274e-05	62.0	38.0
,,group_21794	15.8917417339	6.70707372274e-05	62.0	38.0
,,ptlF	15.8917417339	6.70707372274e-05	62.0	38.0
,,group_13790	15.8917417339	6.70707372274e-05	62.0	38.0
,,group_16647	15.8917417339	6.70707372274e-05	62.0	38.0
,,group_13512	15.8099778703	7.0032218605e-05	6.0	10.0
,,group_1176	15.8099778703	7.0032218605e-05	6.0	10.0
,,group_16329	15.8099778703	7.0032218605e-05	6.0	10.0
,,group_6386	15.8099778703	7.0032218605e-05	6.0	10.0
,,group_9638	15.8099778703	7.0032218605e-05	6.0	10.0
,,group_13750	15.8099778703	7.0032218605e-05	6.0	10.0
,,group_4891	15.8099778703	7.0032218605e-05	6.0	10.0
,,group_9807	15.8099778703	7.0032218605e-05	6.0	10.0
,,group_17023	15.8099778703	7.0032218605e-05	6.0	10.0
,,group_11622	15.7337056656	7.29132846085e-05	29.0	23.0
,,group_16561	15.7129148978	7.37191033854e-05	27.0	22.0
,,group_13350	15.7005988024	7.42006759285e-05	57.0	0.0
,,wbpB	15.7005988024	7.42006759285e-05	57.0	0.0
,,wbnH	15.7005988024	7.42006759285e-05	57.0	0.0
,,group_20682	15.7005988024	7.42006759285e-05	57.0	0.0
,,group_2123	15.6711421877	7.53653370052e-05	9.0	12.0
,,group_13691	15.6711421877	7.53653370052e-05	9.0	12.0
,,group_21587	15.6711421877	7.53653370052e-05	9.0	12.0
,,group_21586	15.6711421877	7.53653370052e-05	9.0	12.0
,,group_9974	15.5352284561	8.09819361752e-05	65.0	39.0
,,group_11310	15.4251497006	8.5838260502e-05	56.0	0.0
,,group_3009	15.3446729729	8.95731289178e-05	49.0	32.0
,,ptlG	15.3228248625	9.06150167603e-05	63.0	38.0
PA14_66160,,group_7671	15.3000666493	9.17132753439e-05	116.0	9.0
,,group_14419	15.2470710752	9.43229153273e-05	16.0	16.0
,,aldA	15.2470710752	9.43229153273e-05	16.0	16.0
,,group_16650	15.112360461	0.000101297857982	61.0	37.0
,,group_11679	15.112360461	0.000101297857982	61.0	37.0
,,mkl_1	15.112360461	0.000101297857982	61.0	37.0
,,group_16649	15.112360461	0.000101297857982	61.0	37.0
,,group_11680	15.112360461	0.000101297857982	61.0	37.0
,,group_1529	15.0679603526	0.000103708710746	5.0	9.0
,,group_22412	15.0679603526	0.000103708710746	5.0	9.0
,,group_5446	15.0679603526	0.000103708710746	5.0	9.0
,,group_14007	15.0679603526	0.000103708710746	5.0	9.0
,,group_14826	15.0679603526	0.000103708710746	5.0	9.0
,,group_1373	15.0679603526	0.000103708710746	5.0	9.0
,,group_14036	15.0679603526	0.000103708710746	5.0	9.0
,,group_14825	15.0679603526	0.000103708710746	5.0	9.0
,,group_22575	15.0679603526	0.000103708710746	5.0	9.0
,,group_8473	15.0679603526	0.000103708710746	5.0	9.0
,,group_6474	15.041176033	0.000105190895374	18.0	17.0
,,group_1024	15.041176033	0.000105190895374	18.0	17.0
,,curA_1	15.0363674824	0.000105459238453	11.0	13.0
,,group_25807	15.0363674824	0.000105459238453	11.0	13.0
,,group_17944	15.0363674824	0.000105459238453	11.0	13.0
,,pucA_1	15.0363674824	0.000105459238453	11.0	13.0
,,group_21551	15.0363674824	0.000105459238453	11.0	13.0
,,group_17525	15.0363674824	0.000105459238453	11.0	13.0
,,group_25805	15.0363674824	0.000105459238453	11.0	13.0
,,group_41851	15.0363674824	0.000105459238453	11.0	13.0
,,hsdR	15.0363674824	0.000105459238453	11.0	13.0
,,group_14307	15.0363674824	0.000105459238453	11.0	13.0
,,group_21588	14.8755507852	0.000114841834347	30.0	23.0
,,group_9947	14.8755507852	0.000114841834347	30.0	23.0
,,group_3834	14.8755507852	0.000114841834347	30.0	23.0
,,group_21593	14.8755507852	0.000114841834347	30.0	23.0
,,group_364	14.8755507852	0.000114841834347	30.0	23.0
,,group_11627	14.8755507852	0.000114841834347	30.0	23.0
,,group_13705	14.8755507852	0.000114841834347	30.0	23.0
,,group_21589	14.8755507852	0.000114841834347	30.0	23.0
,,group_16564	14.8755507852	0.000114841834347	30.0	23.0
,,group_8567	14.7920283393	0.000120041877891	26.0	21.0
,,group_885	14.7848079585	0.000120502394586	8.0	11.0
,,group_2103	14.7848079585	0.000120502394586	8.0	11.0
,,group_1379	14.7848079585	0.000120502394586	8.0	11.0
PA14_48450,,group_9220	14.7806066458	0.000120771172801	76.0	3.0
,,group_13794	14.5544602495	0.000136165931268	62.0	37.0
,,group_32023	14.5217391304	0.000138551443977	0.0	4.0
,,group_37157	14.5217391304	0.000138551443977	0.0	4.0
,,group_37158	14.5217391304	0.000138551443977	0.0	4.0
,,group_8773	14.5217391304	0.000138551443977	0.0	4.0
,,group_11674	14.5217391304	0.000138551443977	0.0	4.0
,,group_32022	14.5217391304	0.000138551443977	0.0	4.0
,,group_15999	14.3962509763	0.000148096862434	4.0	8.0
,,group_18942	14.3962509763	0.000148096862434	4.0	8.0
,,group_31541	14.3962509763	0.000148096862434	4.0	8.0
,,group_18678	14.3962509763	0.000148096862434	4.0	8.0
,,group_12015	14.3962509763	0.000148096862434	4.0	8.0
,,hcaR_6	14.3962509763	0.000148096862434	4.0	8.0
,,group_638	14.3962509763	0.000148096862434	4.0	8.0
,,group_354	14.3962509763	0.000148096862434	4.0	8.0
,,group_1334	14.3962509763	0.000148096862434	4.0	8.0
,,group_31538	14.3962509763	0.000148096862434	4.0	8.0
,,group_17723	14.3962509763	0.000148096862434	4.0	8.0
,,group_16934	14.3962509763	0.000148096862434	4.0	8.0
,,group_18943	14.3962509763	0.000148096862434	4.0	8.0
,,group_87	14.3962509763	0.000148096862434	4.0	8.0
,,rfbV	14.3233532934	0.000153943226898	52.0	0.0
,,group_11684	14.2341774872	0.000161412164238	65.0	38.0
,,group_5350	14.2341774872	0.000161412164238	65.0	38.0
,,ptlH	14.2341774872	0.000161412164238	65.0	38.0
,,group_24060	14.1057963125	0.00017281044429	10.0	12.0
,,group_9948	14.1057963125	0.00017281044429	10.0	12.0
,,group_24058	14.1057963125	0.00017281044429	10.0	12.0
,,group_24059	14.1057963125	0.00017281044429	10.0	12.0
,,group_5476	14.1057963125	0.00017281044429	10.0	12.0
,,group_26497	14.1057963125	0.00017281044429	10.0	12.0
,,cia	14.0907907505	0.000174194567315	17.0	16.0
,,group_11124	13.962021609	0.000186540960627	19.0	17.0
,,group_376	13.962021609	0.000186540960627	19.0	17.0
,,group_2745	13.9141461323	0.000191352867353	7.0	10.0
,,group_14373	13.9141461323	0.000191352867353	7.0	10.0
,,group_17643	13.9141461323	0.000191352867353	7.0	10.0
,,group_2753	13.9141461323	0.000191352867353	7.0	10.0
,,group_17598	13.9141461323	0.000191352867353	7.0	10.0
,,group_17597	13.9141461323	0.000191352867353	7.0	10.0
,,group_23458	13.9130027988	0.000191469298547	27.0	21.0
,,clpP_3	13.9025139938	0.00019254076042	49.0	31.0
PA14_66100,,group_5734	13.8848142225	0.000194362558071	116.0	10.0
,,group_28645	13.8370346264	0.00019936759084	3.0	7.0
,,group_35638	13.8370346264	0.00019936759084	3.0	7.0
,,group_35633	13.8370346264	0.00019936759084	3.0	7.0
,,group_35627	13.8370346264	0.00019936759084	3.0	7.0
,,group_35680	13.8370346264	0.00019936759084	3.0	7.0
,,group_35628	13.8370346264	0.00019936759084	3.0	7.0
,,group_35532	13.8370346264	0.00019936759084	3.0	7.0
,,group_8344	13.8370346264	0.00019936759084	3.0	7.0
,,group_35647	13.8370346264	0.00019936759084	3.0	7.0
,,group_35632	13.8370346264	0.00019936759084	3.0	7.0
,,group_35626	13.8370346264	0.00019936759084	3.0	7.0
,,group_35657	13.8370346264	0.00019936759084	3.0	7.0
,,group_35629	13.8370346264	0.00019936759084	3.0	7.0
,,group_34823	13.8370346264	0.00019936759084	3.0	7.0
,,group_35639	13.8370346264	0.00019936759084	3.0	7.0
,,group_4935	13.8370346264	0.00019936759084	3.0	7.0
,,group_35631	13.8370346264	0.00019936759084	3.0	7.0
,,group_35649	13.8370346264	0.00019936759084	3.0	7.0
,,dnaJ_2	13.8370346264	0.00019936759084	3.0	7.0
,,group_35640	13.8370346264	0.00019936759084	3.0	7.0
,,group_35646	13.8370346264	0.00019936759084	3.0	7.0
,,group_14300	13.8370346264	0.00019936759084	3.0	7.0
,,group_19073	13.8370346264	0.00019936759084	3.0	7.0
,,group_35661	13.8370346264	0.00019936759084	3.0	7.0
,,group_35630	13.8370346264	0.00019936759084	3.0	7.0
,,group_35644	13.8370346264	0.00019936759084	3.0	7.0
,,group_18973	13.8370346264	0.00019936759084	3.0	7.0
,,group_35650	13.8370346264	0.00019936759084	3.0	7.0
,,group_35656	13.8370346264	0.00019936759084	3.0	7.0
,,group_35652	13.8370346264	0.00019936759084	3.0	7.0
,,group_35634	13.8370346264	0.00019936759084	3.0	7.0
,,group_35536	13.8370346264	0.00019936759084	3.0	7.0
,,group_34824	13.8370346264	0.00019936759084	3.0	7.0
,,group_35636	13.8370346264	0.00019936759084	3.0	7.0
,,group_19072	13.8370346264	0.00019936759084	3.0	7.0
,,group_34825	13.8370346264	0.00019936759084	3.0	7.0
,,group_35658	13.8370346264	0.00019936759084	3.0	7.0
,,group_7033	13.8370346264	0.00019936759084	3.0	7.0
,,group_35662	13.8370346264	0.00019936759084	3.0	7.0
,,group_35540	13.8370346264	0.00019936759084	3.0	7.0
,,group_19042	13.8370346264	0.00019936759084	3.0	7.0
,,group_35659	13.8370346264	0.00019936759084	3.0	7.0
,,group_35655	13.8370346264	0.00019936759084	3.0	7.0
,,group_17856	13.8370346264	0.00019936759084	3.0	7.0
,,group_35642	13.8370346264	0.00019936759084	3.0	7.0
,,group_35531	13.8370346264	0.00019936759084	3.0	7.0
,,group_35641	13.8370346264	0.00019936759084	3.0	7.0
,,group_35651	13.8370346264	0.00019936759084	3.0	7.0
,,group_35645	13.8370346264	0.00019936759084	3.0	7.0
,,group_19115	13.8370346264	0.00019936759084	3.0	7.0
