feature	score	p-value	#I-out-of-44	#O-out-of-148
,,group_4925	16.8181818182	4.11372718153e-05	5.0	0.0
,,group_7723	13.4099569018	0.000250292164959	26.0	35.0
,,group_73	12.398034398	0.000429786016725	5.0	1.0
,,group_1343	11.8044515103	0.00059089267208	22.0	29.0
,,group_14835	10.3249944159	0.00131240657264	7.0	4.0
,,group_14843	10.3249944159	0.00131240657264	7.0	4.0
,,group_108	10.3249944159	0.00131240657264	7.0	4.0
,,group_4394	10.3078132678	0.00132468156078	21.0	29.0
,,group_10160	10.0909090909	0.00149002578928	3.0	0.0
,,group_24329	10.0909090909	0.00149002578928	3.0	0.0
,,group_10163	10.0909090909	0.00149002578928	3.0	0.0
,,group_24330	10.0909090909	0.00149002578928	3.0	0.0
,,group_2181	10.0909090909	0.00149002578928	3.0	0.0
,,group_5995	10.0909090909	0.00149002578928	3.0	0.0
,,group_24328	10.0909090909	0.00149002578928	3.0	0.0
,,mdtE_3	9.75184275184	0.00179143048135	6.0	3.0
,,group_6864	9.75184275184	0.00179143048135	6.0	3.0
,,group_14150	9.75184275184	0.00179143048135	6.0	3.0
PA14_55470,hxcY,group_5268	9.55282555283	0.00199641866669	2.0	46.0
,,group_11622	9.49709039183	0.00205797984393	10.0	9.0
,,group_9893	9.28395928396	0.00231169221614	8.0	6.0
,,group_483	9.28395928396	0.00231169221614	8.0	6.0
,,group_16566	9.28395928396	0.00231169221614	8.0	6.0
,,ugpA_2	9.2230958231	0.00238981110157	4.0	1.0
,,exoA_1	9.2230958231	0.00238981110157	4.0	1.0
,,group_4080	9.2230958231	0.00238981110157	4.0	1.0
,,group_21587	9.2230958231	0.00238981110157	4.0	1.0
,,group_38402	9.2230958231	0.00238981110157	4.0	1.0
,,group_21586	9.2230958231	0.00238981110157	4.0	1.0
,,group_16259	8.67538661656	0.00322536423643	9.0	8.0
,,ptlH_1	8.52088452088	0.0035109380388	7.0	5.0
,,group_576	8.52088452088	0.0035109380388	7.0	5.0
,,group_23311	8.52088452088	0.0035109380388	7.0	5.0
,,group_21588	8.30466830467	0.00395433036671	10.0	10.0
,,group_3834	8.30466830467	0.00395433036671	10.0	10.0
,,group_21593	8.30466830467	0.00395433036671	10.0	10.0
,,group_11627	8.30466830467	0.00395433036671	10.0	10.0
,,group_9947	8.30466830467	0.00395433036671	10.0	10.0
,,group_13705	8.30466830467	0.00395433036671	10.0	10.0
,,group_21589	8.30466830467	0.00395433036671	10.0	10.0
,,group_16564	8.30466830467	0.00395433036671	10.0	10.0
PA14_55410,,phoA2	8.12119307468	0.00437507571323	2.0	41.0
,,group_20992	7.92060002586	0.00488750603464	16.0	22.0
,,group_16297	7.92060002586	0.00488750603464	16.0	22.0
,,group_13493	7.92060002586	0.00488750603464	16.0	22.0
,,group_20991	7.92060002586	0.00488750603464	16.0	22.0
,,group_16296	7.92060002586	0.00488750603464	16.0	22.0
,,group_20993	7.92060002586	0.00488750603464	16.0	22.0
,,group_13615	7.92060002586	0.00488750603464	16.0	22.0
,,group_16565	7.85601965602	0.00506517781579	8.0	7.0
,,group_16991	7.85601965602	0.00506517781579	8.0	7.0
,,group_37130	7.78476658477	0.00526885976419	6.0	4.0
,,group_19210	7.78476658477	0.00526885976419	6.0	4.0
,,group_37127	7.78476658477	0.00526885976419	6.0	4.0
,,group_19003	7.78476658477	0.00526885976419	6.0	4.0
,,group_37126	7.78476658477	0.00526885976419	6.0	4.0
,,spo0C_2	7.78476658477	0.00526885976419	6.0	4.0
,,group_12227	7.78476658477	0.00526885976419	6.0	4.0
,,group_19212	7.78476658477	0.00526885976419	6.0	4.0
,,group_34188	7.78476658477	0.00526885976419	6.0	4.0
,,group_37131	7.78476658477	0.00526885976419	6.0	4.0
,,group_34199	7.78476658477	0.00526885976419	6.0	4.0
,,swrC_3	7.78476658477	0.00526885976419	6.0	4.0
,,group_37132	7.78476658477	0.00526885976419	6.0	4.0
,,group_37128	7.78476658477	0.00526885976419	6.0	4.0
,,bepR_3	7.78476658477	0.00526885976419	6.0	4.0
,,group_14911	7.78476658477	0.00526885976419	6.0	4.0
,,group_8767	7.78476658477	0.00526885976419	6.0	4.0
,,group_12124	7.78476658477	0.00526885976419	6.0	4.0
,,group_34198	7.78476658477	0.00526885976419	6.0	4.0
,,group_37129	7.78476658477	0.00526885976419	6.0	4.0
,,group_12123	7.78476658477	0.00526885976419	6.0	4.0
,,group_16561	7.4742014742	0.00625893187336	9.0	9.0
