feature	score	p-value	#I-out-of-20	#O-out-of-406
,,group_32023	44.1873152709	2.98408728153e-11	3.0	1.0
,,group_32022	44.1873152709	2.98408728153e-11	3.0	1.0
,,group_21052	40.6	1.86806663951e-10	2.0	0.0
,,group_21260	40.6	1.86806663951e-10	2.0	0.0
,,group_21064	40.6	1.86806663951e-10	2.0	0.0
,,group_21068	40.6	1.86806663951e-10	2.0	0.0
,,licB	40.6	1.86806663951e-10	2.0	0.0
,,group_4890	40.6	1.86806663951e-10	2.0	0.0
,,group_21070	40.6	1.86806663951e-10	2.0	0.0
,,group_21066	40.6	1.86806663951e-10	2.0	0.0
,,group_21063	40.6	1.86806663951e-10	2.0	0.0
,,group_21067	40.6	1.86806663951e-10	2.0	0.0
,,group_21051	40.6	1.86806663951e-10	2.0	0.0
,,group_21065	40.6	1.86806663951e-10	2.0	0.0
,,group_21069	40.6	1.86806663951e-10	2.0	0.0
,,group_20994	40.6	1.86806663951e-10	2.0	0.0
,,group_6203	40.6	1.86806663951e-10	2.0	0.0
,,novN_2	40.6	1.86806663951e-10	2.0	0.0
,,radD_1	40.6	1.86806663951e-10	2.0	0.0
,,group_14799	33.1271314892	8.6325710302e-09	5.0	8.0
,,group_35663	31.7812807882	1.72547750682e-08	4.0	5.0
,,group_35607	31.7812807882	1.72547750682e-08	4.0	5.0
,,group_19113	31.7812807882	1.72547750682e-08	4.0	5.0
,,group_35601	31.7812807882	1.72547750682e-08	4.0	5.0
,,group_35665	31.7812807882	1.72547750682e-08	4.0	5.0
,,group_35600	31.7812807882	1.72547750682e-08	4.0	5.0
,,group_19112	31.7812807882	1.72547750682e-08	4.0	5.0
,,group_35606	31.7812807882	1.72547750682e-08	4.0	5.0
,,group_35664	31.7812807882	1.72547750682e-08	4.0	5.0
,,group_8474	31.7812807882	1.72547750682e-08	4.0	5.0
,,group_35599	31.7812807882	1.72547750682e-08	4.0	5.0
,,tfaE	31.7812807882	1.72547750682e-08	4.0	5.0
,,group_17599	30.1064391274	4.08971025155e-08	5.0	9.0
,,group_17600	30.1064391274	4.08971025155e-08	5.0	9.0
,,group_17596	30.1064391274	4.08971025155e-08	5.0	9.0
,,group_15859	28.6227586207	8.79424857831e-08	6.0	14.0
,,group_35638	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35633	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35627	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35680	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35628	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_8344	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35647	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35632	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35626	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35657	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35629	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_34823	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35639	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35631	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35649	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35640	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35646	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_19073	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35661	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35630	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35644	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_18973	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35650	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35656	27.8573399015	1.3059769201e-07	4.0	6.0
,,group_35652	27.8573399015	1.3059769201e-07	4.0	6.0
