feature	score	p-value	#I-out-of-5	#O-out-of-421
,,group_5610	110.937292162	6.10722789261e-26	2.0	1.0
,,group_31929	110.937292162	6.10722789261e-26	2.0	1.0
,,group_809	110.937292162	6.10722789261e-26	2.0	1.0
,,group_31935	110.937292162	6.10722789261e-26	2.0	1.0
,,group_31937	110.937292162	6.10722789261e-26	2.0	1.0
,,group_4058	110.937292162	6.10722789261e-26	2.0	1.0
,,bdlA_3	110.937292162	6.10722789261e-26	2.0	1.0
,,group_31936	110.937292162	6.10722789261e-26	2.0	1.0
,,group_31934	110.937292162	6.10722789261e-26	2.0	1.0
,,group_23256	91.0121140143	1.42795215819e-21	3.0	5.0
,,group_23255	91.0121140143	1.42795215819e-21	3.0	5.0
,,group_23257	91.0121140143	1.42795215819e-21	3.0	5.0
,,group_34602	84.2	4.47170654816e-20	1.0	0.0
,,group_34584	84.2	4.47170654816e-20	1.0	0.0
PA14_25710,pabC,pabC	84.2	4.47170654816e-20	1.0	0.0
,,dsbE_2	84.2	4.47170654816e-20	1.0	0.0
,,bioK	84.2	4.47170654816e-20	1.0	0.0
,,group_34647	84.2	4.47170654816e-20	1.0	0.0
PA14_55960,pctC,pctC	84.2	4.47170654816e-20	1.0	0.0
,,group_19035	84.2	4.47170654816e-20	1.0	0.0
,,group_34577	84.2	4.47170654816e-20	1.0	0.0
,,group_34608	84.2	4.47170654816e-20	1.0	0.0
,,group_6070	84.2	4.47170654816e-20	1.0	0.0
,,group_34600	84.2	4.47170654816e-20	1.0	0.0
,,hindIIIM_2	84.2	4.47170654816e-20	1.0	0.0
,,group_34666	84.2	4.47170654816e-20	1.0	0.0
,,group_34609	84.2	4.47170654816e-20	1.0	0.0
,,csgA_1	84.2	4.47170654816e-20	1.0	0.0
,,group_1031	84.2	4.47170654816e-20	1.0	0.0
,,group_34615	84.2	4.47170654816e-20	1.0	0.0
,,group_36715	84.2	4.47170654816e-20	1.0	0.0
,,group_34592	84.2	4.47170654816e-20	1.0	0.0
,,group_34671	84.2	4.47170654816e-20	1.0	0.0
,,group_34664	84.2	4.47170654816e-20	1.0	0.0
,,group_34662	84.2	4.47170654816e-20	1.0	0.0
,,group_36712	84.2	4.47170654816e-20	1.0	0.0
,,group_34583	84.2	4.47170654816e-20	1.0	0.0
,,group_34586	84.2	4.47170654816e-20	1.0	0.0
,,group_34659	84.2	4.47170654816e-20	1.0	0.0
,,group_34649	84.2	4.47170654816e-20	1.0	0.0
,,group_36713	84.2	4.47170654816e-20	1.0	0.0
PA14_56000,pctA,pctA	84.2	4.47170654816e-20	1.0	0.0
PA14_23500,tyrB,tyrB	84.2	4.47170654816e-20	1.0	0.0
,,group_34578	84.2	4.47170654816e-20	1.0	0.0
,,group_34660	84.2	4.47170654816e-20	1.0	0.0
,,group_34574	84.2	4.47170654816e-20	1.0	0.0
,,group_34629	84.2	4.47170654816e-20	1.0	0.0
,,group_34606	84.2	4.47170654816e-20	1.0	0.0
,,group_13782	84.2	4.47170654816e-20	1.0	0.0
,,group_408	84.2	4.47170654816e-20	1.0	0.0
,,group_34620	84.2	4.47170654816e-20	1.0	0.0
,,group_37944	84.2	4.47170654816e-20	1.0	0.0
,,group_34622	84.2	4.47170654816e-20	1.0	0.0
,,group_34599	84.2	4.47170654816e-20	1.0	0.0
PA14_43350,kdpD,kdpD	84.2	4.47170654816e-20	1.0	0.0
,,group_34611	84.2	4.47170654816e-20	1.0	0.0
,,group_4900	84.2	4.47170654816e-20	1.0	0.0
,,group_34621	84.2	4.47170654816e-20	1.0	0.0
,,group_8541	84.2	4.47170654816e-20	1.0	0.0
,,group_34589	84.2	4.47170654816e-20	1.0	0.0
,,group_34673	84.2	4.47170654816e-20	1.0	0.0
,,group_34670	84.2	4.47170654816e-20	1.0	0.0
,,group_34663	84.2	4.47170654816e-20	1.0	0.0
