feature	score	p-value	#I-out-of-234	#O-out-of-44
,,group_15466	35.1703890425	3.02082015882e-09	22.0	21.0
,,group_10756	35.1703890425	3.02082015882e-09	22.0	21.0
,,group_37127	31.9090909091	1.61559262894e-08	0.0	6.0
,,group_19210	31.9090909091	1.61559262894e-08	0.0	6.0
,,group_37130	31.9090909091	1.61559262894e-08	0.0	6.0
,,virB4_2	31.9090909091	1.61559262894e-08	0.0	6.0
,,group_6864	31.9090909091	1.61559262894e-08	0.0	6.0
,,group_37129	31.9090909091	1.61559262894e-08	0.0	6.0
,,spo0C_1	31.9090909091	1.61559262894e-08	0.0	6.0
,,group_37132	31.9090909091	1.61559262894e-08	0.0	6.0
,,group_19212	31.9090909091	1.61559262894e-08	0.0	6.0
,,group_30712	31.9090909091	1.61559262894e-08	0.0	6.0
,,group_37131	31.9090909091	1.61559262894e-08	0.0	6.0
,,group_37128	31.9090909091	1.61559262894e-08	0.0	6.0
,,mdtE_2	31.9090909091	1.61559262894e-08	0.0	6.0
,,group_37126	31.9090909091	1.61559262894e-08	0.0	6.0
,,group_13224	31.5559440559	1.93776314002e-08	18.0	18.0
,,group_16259	31.5387529138	1.95499432361e-08	3.0	9.0
,,group_2984	30.8473679099	2.79140469722e-08	1.0	7.0
,,group_18920	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_38404	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_38403	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_1008	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_38396	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_38401	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_38399	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_4557	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_30645	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_38405	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_38400	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_15950	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_38397	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_38398	26.5909090909	2.51424031918e-07	0.0	5.0
,,group_20636	25.6632256632	4.06499946363e-07	1.0	6.0
,,group_14150	25.6632256632	4.06499946363e-07	1.0	6.0
,,yjcC	25.6632256632	4.06499946363e-07	1.0	6.0
,,group_12123	25.6632256632	4.06499946363e-07	1.0	6.0
,,group_16261	25.6632256632	4.06499946363e-07	1.0	6.0
,,group_11392	25.6632256632	4.06499946363e-07	1.0	6.0
,,group_18572	25.6632256632	4.06499946363e-07	1.0	6.0
,,group_3422	25.6632256632	4.06499946363e-07	1.0	6.0
,,group_14580	25.6632256632	4.06499946363e-07	1.0	6.0
,,group_3011	25.6632256632	4.06499946363e-07	1.0	6.0
,,group_7032	25.6632256632	4.06499946363e-07	1.0	6.0
,,group_30646	25.6632256632	4.06499946363e-07	1.0	6.0
,,group_6164	25.6632256632	4.06499946363e-07	1.0	6.0
,,group_13212	25.5524864025	4.30510924607e-07	22.0	18.0
,,group_7525	25.3228119785	4.84939548313e-07	37.0	24.0
,,group_7038	22.0283216783	2.68656836989e-06	3.0	7.0
,,group_1367	22.0283216783	2.68656836989e-06	3.0	7.0
,,group_176	22.0283216783	2.68656836989e-06	3.0	7.0
,,group_11626	22.0283216783	2.68656836989e-06	3.0	7.0
PA14_59490,,group_6248	22.0283216783	2.68656836989e-06	3.0	7.0
,,ydiO_2	21.9694638695	2.77023110693e-06	6.0	9.0
,,group_21678	21.9694638695	2.77023110693e-06	6.0	9.0
,,group_13728	21.9694638695	2.77023110693e-06	6.0	9.0
,,group_1528	21.9694638695	2.77023110693e-06	6.0	9.0
,,group_21677	21.9694638695	2.77023110693e-06	6.0	9.0
,,group_9959	21.9694638695	2.77023110693e-06	6.0	9.0
,,group_16009	21.3251316585	3.87616427824e-06	8.0	10.0
,,exoA_1	21.2727272727	3.98359010791e-06	0.0	4.0
PA14_22990,gltF,ugpA	21.2727272727	3.98359010791e-06	0.0	4.0
,,group_2846	21.2727272727	3.98359010791e-06	0.0	4.0
,,group_38402	21.2727272727	3.98359010791e-06	0.0	4.0
,,group_20639	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_23385	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_23386	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_20184	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_12227	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_20638	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_16101	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_17294	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_8753	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_20635	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_34188	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_38170	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_5351	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_19003	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_23383	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_16100	21.0258352758	4.53131797533e-06	2.0	6.0
,,gap3	21.0258352758	4.53131797533e-06	2.0	6.0
,,group_23381	21.0258352758	4.53131797533e-06	2.0	6.0
,,swrC_2	21.0258352758	4.53131797533e-06	2.0	6.0
