feature	score	std	#I-out-of-20	#O-out-of-334
geneexp##PA14_63220	0.018336326209	0.0868555996832	  (0, 0)	104.775708173	  (0, 0)	866.239441515
geneexp##PA14_63110	0.0161676058618	0.0817506900702	  (0, 0)	136.779663017	  (0, 0)	1244.93973979
geneexp##PA14_63120	0.0144133558117	0.0744183950169	  (0, 0)	145.693698119	  (0, 0)	1359.97741735
geneexp##PA14_63160,pmrB	0.0143882595836	0.0746880185072	  (0, 0)	129.757304981	  (0, 0)	1611.8070359
geneexp##PA14_63130	0.0139812612523	0.0767906165689	  (0, 0)	132.99781376	  (0, 0)	1562.75968118
geneexp##PA14_18370,arnB	0.0132388732182	0.0677216167923	  (0, 0)	136.590276882	  (0, 0)	1539.52694057
geneexp##PA14_29750	0.0128181737448	0.0608275249691	  (0, 0)	95.3309940908	  (0, 0)	828.961324002
geneexp##PA14_41280	0.0125618080285	0.0645124442608	  (0, 0)	144.57498905	  (0, 0)	1580.42728376
geneexp##PA14_18310	0.0123893259227	0.066988697974	  (0, 0)	133.644483906	  (0, 0)	1468.76076377
geneexp##PA14_44311	0.011947011902	0.0658954096813	  (0, 0)	147.159088832	  (0, 0)	1594.56115058
geneexp##PA14_18320	0.011615408422	0.0647463898816	  (0, 0)	90.0266599233	  (0, 0)	883.339048188
geneexp##PA14_41290	0.0116005036845	0.0667656992291	  (0, 0)	88.7603353723	  (0, 0)	715.810893982
geneexp##PA14_18350,fmt	0.0110820767856	0.0598988490189	  (0, 0)	140.653151215	  (0, 0)	1629.94296005
geneexp##PA14_63150,pmrA	0.0110397072039	0.0608493232169	  (0, 0)	118.286384817	  (0, 0)	1373.08780672
geneexp##PA14_04810	0.0109853317758	0.0608808687555	  (0, 0)	137.38327598	  (0, 0)	1862.72116512
geneexp##PA14_18340	0.0103011196532	0.059940544855	  (0, 0)	94.9808882554	  (0, 0)	910.708869733
geneexp##PA14_18330,arnT	0.00834054498737	0.0502209538648	  (0, 0)	105.204037166	  (0, 0)	1111.28896572
geneexp##PA14_18300	0.00815796914797	0.0528416302382	  (0, 0)	138.397896866	  (0, 0)	1598.02737308
geneexp##PA14_04790	0.0064806343751	0.0406909076816	  (0, 0)	120.602372616	  (0, 0)	1622.84521399
geneexp##PA14_34170	0.00643020636843	0.0418063697215	  (0, 0)	64.9395054845	  (0, 0)	725.932439205
geneexp##PA14_18360,prmF	0.00551911598037	0.0377005368853	  (0, 0)	124.271510811	  (0, 0)	1366.33610666
geneexp##PA14_04780	0.00545731908884	0.0363201670377	  (0, 0)	125.856775323	  (0, 0)	1719.34669458
geneexp##PA14_04000	0.00372421303496	0.0241206950765	  (0, 0)	83.4178716822	  (0, 0)	1469.63126665
geneexp##PA14_04820	0.00345674451056	0.0270438079004	  (0, 0)	123.42190616	  (0, 0)	1919.51906356
geneexp##PA14_53820	0.00340264918296	0.0235945512664	  (0, 0)	136.477438136	  (0, 0)	1960.76650103
geneexp##PA14_11250	0.00324743206865	0.024019328916	  (0, 0)	112.336044836	  (0, 0)	1949.61229016
geneexp##PA14_48090,aprF	0.00298736527439	0.0244340384494	  (0, 0)	87.1181273675	  (0, 0)	1629.01691551
geneexp##PA14_28930	0.0029431802557	0.0256175874713	  (0, 0)	51.0570985977	  (0, 0)	948.256345705
geneexp##PA14_56670	0.00271831838296	0.0260616636111	  (0, 0)	82.5904041807	  (0, 0)	1185.48566782
geneexp##PA3621.1,rsmZ	0.00252982643245	0.0237780972032	  (0, 0)	202.082047518	  (0, 0)	3155.6426698
geneexp##PA14_02020	0.00252538699915	0.0213016656334	  (0, 0)	85.5645731629	  (0, 0)	1598.90550638
geneexp##PA14_53830	0.00209713230702	0.0183048478667	  (0, 0)	72.7621375829	  (0, 0)	1073.93244224
geneexp##PA14_52480	0.00209327444217	0.019026577576	  (0, 0)	93.9421579242	  (0, 0)	1277.35129457
