feature	score	avg I	avg O
gene_pa_group_15778	0.253731343284	0.01(+/-)0.12	0.0(+/-)0.0
snp_PA14_40260_3591329	0.253731343284	0.01(+/-)0.12	0.0(+/-)0.0
snp_PA14_09870_848490	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_28040_2427991	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_58320_5193259	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_01670_153017	3.94117647059	0.0(+/-)0.0	0.06(+/-)0.24
snp_PA14_34280,metQ-l_3047941	2.19490781387	0.03(+/-)0.17	0.12(+/-)0.32
snp_PA14_35000_3116757	0.507462686567	0.03(+/-)0.17	0.0(+/-)0.0
snp_PA14_15460,merA_1309270	0.00526777875329	0.28(+/-)0.45	0.29(+/-)0.46
snp_PA14_50740_4508652	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55470,hxcY_4938204	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_30630,pqsH_2654151	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_16910_1450193	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_00190,fmt_20843	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_38480,gnyA_3432648	1.26865671642	0.07(+/-)0.26	0.0(+/-)0.0
snp_PA14_06180,fiuI_546435	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_46590_4148787	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_64740,pchA_5768365	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55280_4909000	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_09340,fptA_800063	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_19050,metG_1646183	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_21650	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_40850,gpmA_3644982	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_38000_3390116	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_6598	0.0	1.0(+/-)0.0	1.0(+/-)0.0
snp_PA14_10770_929353	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_23500,tyrB_2044588	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_14589	0.507462686567	0.03(+/-)0.17	0.0(+/-)0.0
snp_PA14_29560_2563207	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_15620_1328273	3.50570676032	0.33(+/-)0.47	0.65(+/-)0.48
snp_PA14_49110_4362835	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_37530_3340070	3.94117647059	0.0(+/-)0.0	0.06(+/-)0.24
snp_PA14_63960_5699881	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_41150_3670871	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_29400,rhs_2549819	3.94117647059	0.0(+/-)0.0	0.06(+/-)0.24
snp_PA14_57340,murG_5109605	0.253731343284	0.01(+/-)0.12	0.0(+/-)0.0
snp_PA14_50220,fleQ_4462212	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55980,yjgR_4997023	0.600923277351	0.7(+/-)0.46	0.88(+/-)0.32
snp_PA14_23520_2047976	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_40040_3568592	4.38981562774	0.06(+/-)0.24	0.24(+/-)0.42
snp_PA14_05390,chpA_471864	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_62590,panC_5585031	3.94117647059	0.0(+/-)0.0	0.06(+/-)0.24
snp_PA14_18780,mexF_1617044	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_09150,katA_774023	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_4796	1.47673397717	0.07(+/-)0.26	0.18(+/-)0.38
snp_PA14_33610_2969470	0.756132830656	0.22(+/-)0.42	0.12(+/-)0.32
snp_PA14_53570_4751264	0.507462686567	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_48910_4347831	0.507462686567	0.03(+/-)0.17	0.0(+/-)0.0
snp_PA14_19320_1666009	0.356101843723	0.69(+/-)0.46	0.82(+/-)0.38
snp_PA14_53820_4772171	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55650,sbcC_4960504	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_28000_2424749	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_31070_2701351	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_1590	nan	0.0(+/-)0.0	0.0(+/-)0.0
