feature	score	avg I	avg O
snp_PA14_23670_2058721	16.7801198486	0.52(+/-)0.5	0.18(+/-)0.38
snp_PA14_40260_3591329	10.25	0.05(+/-)0.22	0.0(+/-)0.0
snp_PA14_09870_848490	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_28040_2427991	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_58320_5193259	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_34280,metQ-l_3047941	4.10243902439	0.1(+/-)0.3	0.03(+/-)0.17
gene_pa_group_15778	1.66006097561	0.02(+/-)0.16	0.0(+/-)0.07
snp_PA14_35000_3116757	1.17073170732	0.0(+/-)0.0	0.03(+/-)0.17
snp_PA14_01670_153017	0.390243902439	0.0(+/-)0.0	0.01(+/-)0.1
snp_PA14_15460,merA_1309270	0.194013303769	0.35(+/-)0.48	0.31(+/-)0.46
snp_PA14_50740_4508652	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55470,hxcY_4938204	0.19512195122	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_30630,pqsH_2654151	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_16910_1450193	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_00190,fmt_20843	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_38480,gnyA_3432648	9.69844789357	0.3(+/-)0.46	0.1(+/-)0.3
snp_PA14_06180,fiuI_546435	0.390243902439	0.0(+/-)0.0	0.01(+/-)0.1
snp_PA14_46590_4148787	0.19512195122	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_64740,pchA_5768365	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55280_4909000	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_09340,fptA_800063	0.220274390244	0.02(+/-)0.16	0.01(+/-)0.12
snp_PA14_38000_3390116	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_23500,tyrB_2044588	5.125	0.02(+/-)0.16	0.0(+/-)0.0
snp_PA14_29560_2563207	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_49110_4362835	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_63960_5699881	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_41150_3670871	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_57340,murG_5109605	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_50220,fleQ_4462212	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_23520_2047976	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_40040_3568592	1.98499061914	0.1(+/-)0.3	0.04(+/-)0.2
snp_PA14_55980,yjgR_4997023	0.687881097561	0.75(+/-)0.43	0.63(+/-)0.48
snp_PA14_18780,mexF_1617044	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_09150,katA_774023	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_53820_4772171	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55650,sbcC_4960504	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_28000_2424749	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_1590	1.66006097561	0.02(+/-)0.16	0.0(+/-)0.07
snp_PA14_19320_1666009	1.34319170421	0.78(+/-)0.42	0.61(+/-)0.49
snp_PA14_15620_1328273	0.642073170732	0.32(+/-)0.47	0.25(+/-)0.44
gene_pa_group_21650	0.635162601626	0.02(+/-)0.16	0.01(+/-)0.1
snp_PA14_48910_4347831	0.635162601626	0.02(+/-)0.16	0.01(+/-)0.1
snp_PA14_53570_4751264	0.585975609756	0.02(+/-)0.16	0.0(+/-)0.07
snp_PA14_37530_3340070	0.390243902439	0.0(+/-)0.0	0.01(+/-)0.1
snp_PA14_29400,rhs_2549819	0.390243902439	0.0(+/-)0.0	0.01(+/-)0.1
snp_PA14_62590,panC_5585031	0.390243902439	0.0(+/-)0.0	0.01(+/-)0.1
snp_PA14_31070_2701351	0.390243902439	0.0(+/-)0.0	0.01(+/-)0.1
gene_pa_group_4796	0.258967001435	0.05(+/-)0.22	0.07(+/-)0.26
snp_PA14_33610_2969470	0.252570540411	0.18(+/-)0.38	0.21(+/-)0.41
snp_PA14_19050,metG_1646183	0.19512195122	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_10770_929353	0.19512195122	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_05390,chpA_471864	0.19512195122	0.0(+/-)0.0	0.0(+/-)0.07
gene_pa_group_14589	0.0493902439024	0.02(+/-)0.16	0.02(+/-)0.14
snp_PA14_40850,gpmA_3644982	0.0213414634146	0.02(+/-)0.16	0.03(+/-)0.17
gene_pa_group_6598	0.0	1.0(+/-)0.0	1.0(+/-)0.0
snp_PA14_47080_4193420	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_50330_4473842	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_38780,pqqE_3459513	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55610,dnaE2_4949421	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_26850_2336485	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_48910_4348045	nan	0.12(+/-)0.33	0.11(+/-)0.32
snp_PA14_03000_265311	5.125	0.02(+/-)0.16	0.0(+/-)0.0
snp_PA14_43550_3878522	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_32140,antC_2795748	4.29268292683	0.0(+/-)0.0	0.11(+/-)0.31
snp_PA14_03030,aroQ2_267418	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_39590,metE_3523573	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_66270,glnE_5906829	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_38970_3473565	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_35740,tpnA_3179383	19.7200203252	0.12(+/-)0.33	0.0(+/-)0.07
snp_PA14_19010_1642026	5.125	0.02(+/-)0.16	0.0(+/-)0.0
genexp_PA14_40100	2.6004075265	3.19(+/-)2.19	3.72(+/-)2.11
gene_pa_group_23498	0.864329268293	0.02(+/-)0.16	0.06(+/-)0.24
snp_PA14_35990_3202521	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_46320,pyc_4122946	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_05360,pilJ_466121	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_61180_5456424	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_38010_3390926	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_05390,chpA_474709	5.125	0.02(+/-)0.16	0.0(+/-)0.0
snp_PA14_01960_178224	1.66006097561	0.02(+/-)0.16	0.0(+/-)0.07
snp_PA14_38970_3472937	0.864329268293	0.02(+/-)0.16	0.06(+/-)0.24
snp_PA14_40040_3568241	0.390243902439	0.0(+/-)0.0	0.01(+/-)0.1
snp_PA14_03810,aguA_343494	0.390243902439	0.0(+/-)0.0	0.01(+/-)0.1
snp_PA14_72150_6429147	0.390243902439	0.0(+/-)0.0	0.01(+/-)0.1
snp_PA14_00640,phzH_65908	0.390243902439	0.0(+/-)0.0	0.01(+/-)0.1
snp_PA14_71970,wbpW_6414681	0.290969115312	0.62(+/-)0.48	0.7(+/-)0.46
snp_PA14_67630_6042808	0.19512195122	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_62350,phuR_5562190	0.19512195122	0.02(+/-)0.16	0.0(+/-)0.0
snp_PA14_14310_1221236	0.19512195122	0.0(+/-)0.0	0.0(+/-)0.07
gene_pa_group_1246	0.19512195122	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_49520,pyoS3A_4404367	0.19512195122	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_54080_4797266	0.19512195122	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_02620,mdcH_233287	0.19512195122	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_68720_6128253	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_69400,dsbH_6190321	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_8978	0.000508130081301	0.02(+/-)0.16	0.02(+/-)0.15
snp_PA14_52070_4620628	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_72210_6433283	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_36120_3219170	10.25	0.05(+/-)0.22	0.0(+/-)0.0
snp_PA14_21400,hrpA_1854743	5.125	0.02(+/-)0.16	0.0(+/-)0.0
snp_PA14_11100,cupB5_964794	nan	0.0(+/-)0.0	0.0(+/-)0.0
