feature	score	avg I	avg O
snp_PA14_09870_848490	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_28040_2427991	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_58320_5193259	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_51630_4588537	8.81719858156	0.08(+/-)0.28	0.0(+/-)0.07
snp_PA14_15460,merA_1309270	1.98231944861	0.5(+/-)0.5	0.28(+/-)0.45
gene_pa_group_15778	0.153191489362	0.0(+/-)0.0	0.01(+/-)0.11
snp_PA14_40260_3591329	0.102127659574	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_35000_3116757	0.102127659574	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_01670_153017	0.102127659574	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_34280,metQ-l_3047941	0.00673758865248	0.08(+/-)0.28	0.08(+/-)0.27
snp_PA14_50740_4508652	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55470,hxcY_4938204	0.0510638297872	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_30630,pqsH_2654151	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_16910_1450193	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_00190,fmt_20843	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_38480,gnyA_3432648	1.14377532928	0.08(+/-)0.28	0.23(+/-)0.42
snp_PA14_06180,fiuI_546435	0.153191489362	0.0(+/-)0.0	0.01(+/-)0.11
snp_PA14_46590_4148787	0.0510638297872	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_64740,pchA_5768365	0.0510638297872	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_55280_4909000	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_38000_3390116	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_14589	0.459574468085	0.0(+/-)0.0	0.04(+/-)0.19
snp_PA14_29560_2563207	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_15620_1328273	0.890463078849	0.5(+/-)0.5	0.34(+/-)0.47
snp_PA14_49110_4362835	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_37530_3340070	8.81719858156	0.08(+/-)0.28	0.0(+/-)0.07
snp_PA14_40850,gpmA_3644982	0.426337846551	0.08(+/-)0.28	0.04(+/-)0.2
snp_PA14_09340,fptA_800063	0.204255319149	0.0(+/-)0.0	0.02(+/-)0.13
snp_PA14_63960_5699881	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_41150_3670871	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_50220,fleQ_4462212	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_23520_2047976	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_18780,mexF_1617044	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_4796	1.32056737589	0.17(+/-)0.37	0.07(+/-)0.26
snp_PA14_53570_4751264	0.761268715524	0.08(+/-)0.28	0.03(+/-)0.18
snp_PA14_40040_3568592	0.56170212766	0.0(+/-)0.0	0.05(+/-)0.21
snp_PA14_55980,yjgR_4997023	0.295448866351	0.92(+/-)0.28	0.77(+/-)0.42
snp_PA14_33610_2969470	0.260650525801	0.17(+/-)0.37	0.11(+/-)0.32
snp_PA14_05390,chpA_471864	0.153191489362	0.0(+/-)0.0	0.01(+/-)0.11
snp_PA14_10770_929353	0.102127659574	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_19050,metG_1646183	0.0510638297872	0.0(+/-)0.0	0.0(+/-)0.07
gene_pa_group_21650	0.0510638297872	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_23500,tyrB_2044588	0.0510638297872	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_29400,rhs_2549819	0.0510638297872	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_57340,murG_5109605	0.0510638297872	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_62590,panC_5585031	0.0510638297872	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_09150,katA_774023	0.0510638297872	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_48910_4347831	0.0510638297872	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_19320_1666009	0.0111434684417	0.75(+/-)0.43	0.72(+/-)0.45
gene_pa_group_6598	0.0	1.0(+/-)0.0	1.0(+/-)0.0
snp_PA14_53820_4772171	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55650,sbcC_4960504	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_28000_2424749	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_1590	0.153191489362	0.0(+/-)0.0	0.01(+/-)0.11
snp_PA14_31070_2701351	0.102127659574	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_47080_4193420	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_50330_4473842	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55610,dnaE2_4949421	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_26850_2336485	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_48910_4348045	nan	0.08(+/-)0.28	0.12(+/-)0.33
snp_PA14_03000_265311	0.102127659574	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_38780,pqqE_3459513	0.0510638297872	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_43550_3878522	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_67630_6042808	0.0510638297872	0.0(+/-)0.0	0.0(+/-)0.07
snp_PA14_62350,phuR_5562190	nan	0.0(+/-)0.0	0.0(+/-)0.07
