feature	score	avg I	avg O
gene_pa_group_15778	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_40260_3591329	3.07142857143	0.04(+/-)0.19	0.0(+/-)0.0
snp_PA14_09870_848490	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_28040_2427991	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_58320_5193259	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_15460,merA_1309270	0.991104919087	0.36(+/-)0.48	0.24(+/-)0.43
snp_PA14_01670_153017	0.651162790698	0.0(+/-)0.0	0.02(+/-)0.15
snp_PA14_35000_3116757	0.124584717608	0.04(+/-)0.19	0.02(+/-)0.15
snp_PA14_34280,metQ-l_3047941	0.0607498813479	0.07(+/-)0.26	0.06(+/-)0.23
snp_PA14_50740_4508652	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55470,hxcY_4938204	0.325581395349	0.0(+/-)0.0	0.01(+/-)0.11
snp_PA14_30630,pqsH_2654151	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_16910_1450193	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_00190,fmt_20843	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_38480,gnyA_3432648	3.21594684385	0.36(+/-)0.48	0.17(+/-)0.38
snp_PA14_06180,fiuI_546435	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_46590_4148787	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_64740,pchA_5768365	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55280_4909000	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_09340,fptA_800063	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_19050,metG_1646183	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_21650	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_38000_3390116	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_23500,tyrB_2044588	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_14589	5.49210963455	0.11(+/-)0.31	0.01(+/-)0.11
snp_PA14_40850,gpmA_3644982	0.976744186047	0.0(+/-)0.0	0.03(+/-)0.18
snp_PA14_10770_929353	0.698504983389	0.04(+/-)0.19	0.01(+/-)0.11
gene_pa_group_6598	0.0	1.0(+/-)0.0	1.0(+/-)0.0
snp_PA14_29560_2563207	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_49110_4362835	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_63960_5699881	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_41150_3670871	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_50220,fleQ_4462212	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_23520_2047976	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_05390,chpA_471864	0.976744186047	0.0(+/-)0.0	0.03(+/-)0.18
snp_PA14_18780,mexF_1617044	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_09150,katA_774023	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_4796	2.93023255814	0.0(+/-)0.0	0.1(+/-)0.31
snp_PA14_40040_3568592	2.27906976744	0.0(+/-)0.0	0.08(+/-)0.27
snp_PA14_15620_1328273	1.03958234457	0.21(+/-)0.41	0.34(+/-)0.47
snp_PA14_48910_4347831	0.698504983389	0.04(+/-)0.19	0.01(+/-)0.11
snp_PA14_37530_3340070	0.651162790698	0.0(+/-)0.0	0.02(+/-)0.15
snp_PA14_29400,rhs_2549819	0.325581395349	0.0(+/-)0.0	0.01(+/-)0.11
snp_PA14_57340,murG_5109605	0.325581395349	0.0(+/-)0.0	0.01(+/-)0.11
snp_PA14_62590,panC_5585031	0.325581395349	0.0(+/-)0.0	0.01(+/-)0.11
snp_PA14_55980,yjgR_4997023	0.0533407161314	0.68(+/-)0.47	0.72(+/-)0.45
snp_PA14_33610_2969470	0.0531561461794	0.14(+/-)0.35	0.16(+/-)0.37
snp_PA14_53570_4751264	0.000830564784053	0.0(+/-)0.0	0.02(+/-)0.15
snp_PA14_19320_1666009	0.000539327781853	0.68(+/-)0.47	0.67(+/-)0.47
snp_PA14_53820_4772171	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55650,sbcC_4960504	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_28000_2424749	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_31070_2701351	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_47080_4193420	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_50330_4473842	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55610,dnaE2_4949421	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_26850_2336485	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_48910_4348045	nan	0.14(+/-)0.35	0.08(+/-)0.27
snp_PA14_43550_3878522	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_67630_6042808	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_62350,phuR_5562190	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_32140,antC_2795748	3.38903654485	0.11(+/-)0.31	0.02(+/-)0.15
snp_PA14_03030,aroQ2_267418	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_39590,metE_3523573	nan	0.0(+/-)0.0	0.0(+/-)0.0
genexp_PA14_40100	6.44882890215	3.7(+/-)2.08	2.74(+/-)2.42
snp_PA14_38780,pqqE_3459513	3.07142857143	0.04(+/-)0.19	0.0(+/-)0.0
snp_PA14_66270,glnE_5906829	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_38970_3473565	nan	0.0(+/-)0.0	0.0(+/-)0.0
