feature	score	p-value	#I-out-of-124	#O-out-of-245
snp_PA14_23260,gyrA_2015001	72.200982392	1.94358978806e-17	1.0	0.0
snp_PA14_18340_1573309	40.7778546182	1.70554949844e-10	4.0	99.0
snp_PA14_22680,yrbE_1972882	39.9836734694	2.5609444347e-10	0.0	79.0
snp_PA14_13990_1199882	39.4775510204	3.31852514582e-10	0.0	78.0
snp_PA14_22680,yrbE_1972834	38.2142289619	6.33885014167e-10	2.0	85.0
snp_PA14_31070_2701258	36.1766981866	1.80212547697e-09	0.0	1.0
snp_PA14_30940,trbB_2687997	36.0173905423	1.95564326362e-09	1.0	76.0
snp_PA14_30970,bphR_2691793	35.9604199084	2.01366635424e-09	3.0	85.0
snp_PA14_30910,trbE_2686169	35.7914927053	2.19604734505e-09	4.0	89.0
snp_PA14_31070_2701313	35.7914927053	2.19604734505e-09	4.0	3.0
snp_PA14_22670,yrbF_1972083	35.29375161	2.83540277992e-09	4.0	88.0
snp_PA14_31200_2713215	35.1877893758	2.99394910938e-09	5.0	92.0
snp_PA14_30910,trbE_2685878	35.0818025117	3.16141378902e-09	12.0	119.0
snp_PA14_59990_5342403	34.5013829333	4.25948584133e-09	1.0	73.0
snp_PA14_37490_3336619	34.4582306471	4.35497311296e-09	3.0	82.0
snp_PA14_30910,trbE_2685949	34.4582306471	4.35497311296e-09	3.0	82.0
snp_PA14_22680,yrbE_1972492	34.1998631371	4.97324511269e-09	5.0	90.0
snp_PA14_22680,yrbE_1972664	34.1998631371	4.97324511269e-09	5.0	90.0
snp_PA14_22680,yrbE_1972527	34.1998631371	4.97324511269e-09	5.0	90.0
snp_PA14_22680,yrbE_1972480	34.1998631371	4.97324511269e-09	5.0	90.0
snp_PA14_22680,yrbE_1972462	34.1998631371	4.97324511269e-09	5.0	90.0
snp_PA14_30910,trbE_2685821	34.1861167824	5.00849977436e-09	2.0	77.0
gene_pa_group_8512	33.9102040816	5.77152042046e-09	0.0	67.0
snp_PA14_30910,trbE_2685746	33.8016583944	6.10268187871e-09	3.0	1.0
snp_PA14_22680,yrbE_1972403	33.8016583944	6.10268187871e-09	4.0	85.0
snp_PA14_22680,yrbE_1972391	33.8016583944	6.10268187871e-09	4.0	85.0
snp_PA14_22670,yrbF_1972058	33.7062880815	6.40931732418e-09	5.0	89.0
snp_PA14_22670,yrbF_1972071	33.7062880815	6.40931732418e-09	5.0	89.0
gene_pa_group_1752	33.4040816327	7.48666769463e-09	0.0	66.0
snp_PA14_30940,trbB_2687061	33.3046920821	7.87923011209e-09	4.0	84.0
snp_PA14_22670,yrbF_1971771	33.3046920821	7.87923011209e-09	4.0	84.0
snp_PA14_22680,yrbE_1972786	33.3046920821	7.87923011209e-09	4.0	84.0
snp_PA14_31180_2710069	33.3046920821	7.87923011209e-09	4.0	84.0
snp_PA14_30910,trbE_2685860	33.2124843842	8.26183943443e-09	2.0	1.0
snp_PA14_30900,trbJ_2683647	33.1797662509	8.40202813496e-09	2.0	75.0
snp_PA14_22680,yrbE_1972739	33.1797662509	8.40202813496e-09	2.0	75.0
gene_pa_ptlG	33.1729534737	8.43151747807e-09	6.0	92.0
gene_pa_group_219	32.9572251481	9.42089786939e-09	3.0	79.0
snp_PA14_30910,trbE_2684033	32.9572251481	9.42089786939e-09	3.0	79.0
gene_pa_group_81	32.8979591837	9.71251735794e-09	0.0	65.0
gene_pa_group_4089	32.8979591837	9.71251735794e-09	0.0	65.0
snp_PA14_30950_2688227	32.8079362557	1.01728672754e-08	4.0	83.0
snp_PA14_30850,trbI_2679088	32.8079362557	1.01728672754e-08	4.0	83.0
gene_pa_group_15982	32.8079362557	1.01728672754e-08	4.0	83.0
snp_PA14_30930,trbC_2686881	32.8079362557	1.01728672754e-08	4.0	83.0
snp_PA14_30960,traG_2688632	32.8079362557	1.01728672754e-08	4.0	83.0
gene_pa_group_16638	32.7199562784	1.06438798765e-08	5.0	87.0
gene_pa_group_16317	32.7199562784	1.06438798765e-08	5.0	87.0
gene_pa_ptlF	32.7199562784	1.06438798765e-08	5.0	87.0
snp_PA14_30910,trbE_2683915	32.7199562784	1.06438798765e-08	5.0	87.0
snp_PA14_30910,trbE_2685681	32.7199562784	1.06438798765e-08	0.0	3.0
gene_pa_group_11028	32.7199562784	1.06438798765e-08	5.0	87.0
gene_pa_group_11027	32.7199562784	1.06438798765e-08	5.0	87.0
gene_pa_group_8496	32.7199562784	1.06438798765e-08	5.0	87.0
gene_pa_group_20385	32.7199562784	1.06438798765e-08	5.0	87.0
snp_PA14_30860,trbG_2679807	32.7199562784	1.06438798765e-08	5.0	87.0
snp_PA14_30910,trbE_2686165	32.6838044563	1.08436990186e-08	6.0	91.0
gene_pa_group_8507	32.4803540863	1.20403563128e-08	1.0	69.0
gene_pa_group_5712	32.4803540863	1.20403563128e-08	1.0	69.0
gene_pa_group_8508	32.4803540863	1.20403563128e-08	1.0	69.0
gene_pa_soj_6	32.4803540863	1.20403563128e-08	1.0	69.0
gene_pa_group_1881	32.4803540863	1.20403563128e-08	1.0	69.0
gene_pa_intS_4	32.4803540863	1.20403563128e-08	1.0	69.0
gene_pa_group_8509	32.4803540863	1.20403563128e-08	1.0	69.0
snp_PA14_30880,trbL_2681902	32.4571757735	1.21848200569e-08	3.0	78.0
snp_PA14_30970,bphR_2691475	32.4571757735	1.21848200569e-08	0.0	3.0
gene_pa_group_21646	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_13247	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_15869	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_2275	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_12888	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_17945	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_15418	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_14320	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_5696	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_19188	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_19363	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_23439	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_15369	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_21013	32.3918367347	1.26014731487e-08	0.0	64.0
gene_pa_group_15821	32.3918367347	1.26014731487e-08	0.0	64.0
snp_PA14_30960,traG_2688660	32.3113982577	1.31340626362e-08	4.0	82.0
snp_PA14_30970,bphR_2691856	32.3113982577	1.31340626362e-08	4.0	82.0
snp_PA14_31070_2701816	32.3113982577	1.31340626362e-08	4.0	82.0
snp_PA14_30960,traG_2688609	32.3113982577	1.31340626362e-08	0.0	0.0
snp_PA14_22680,yrbE_1972413	32.3113982577	1.31340626362e-08	0.0	5.0
gene_pa_group_20231	32.2272175159	1.37155910656e-08	5.0	86.0
gene_pa_acrR_2	32.2272175159	1.37155910656e-08	5.0	86.0
gene_pa_group_11030	32.2272175159	1.37155910656e-08	5.0	86.0
snp_PA14_30900,trbJ_2683294	32.2272175159	1.37155910656e-08	11.0	12.0
gene_pa_mdtE_1	32.2272175159	1.37155910656e-08	5.0	86.0
gene_pa_cnrA	32.2272175159	1.37155910656e-08	5.0	86.0
gene_pa_group_14690	32.2272175159	1.37155910656e-08	5.0	86.0
snp_PA14_30910,trbE_2685859	32.2046367897	1.38759212946e-08	14.0	120.0
snp_PA14_30850,trbI_2679568	32.195009052	1.39448508242e-08	6.0	90.0
gene_pa_group_3584	32.1737300856	1.40984161692e-08	2.0	73.0
snp_PA14_31070_2701472	32.1737300856	1.40984161692e-08	2.0	73.0
gene_pa_group_8510	31.9751595729	1.56156693414e-08	1.0	68.0
gene_pa_group_1763	31.9751595729	1.56156693414e-08	1.0	68.0
gene_pa_group_6954	31.9751595729	1.56156693414e-08	1.0	68.0
